"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","BA21-ADS","BA21-GINI -ADS","BA21-AIS","BA21-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2618780","0.6322484","0.14102564102564102","3.6666666666666665","3.0","0","1.0","0","4.0","0","5.0","0.1558442","3.0","0","6.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","16.0","0","0.0","0","1.0","0","24.0","0.008359457","1.0","0","10.0","0","1.0","0","25.0","0.008021390","2.0","0","5.0","0"
"11","0.2618780","0.6322484","0.14102564102564102","3.6666666666666665","3.0","0","1.0","0","4.0","0","5.0","0.15","3.0","0","6.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","16.0","0","0.0","0","1.0","0","24.0","0.007894737","1.0","0","10.0","0","1.0","0","25.0","0.007575758","2.0","0","5.0","0"
"12","0.2618780","0.6322484","0.14102564102564102","3.6666666666666665","3.0","0","1.0","0","4.0","0","5.0","0.1442308","3.0","0","6.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","16.0","0","0.0","0","1.0","0","24.0","0.007468260","1.0","0","10.0","0","1.0","0","25.0","0.007166746","2.0","0","5.0","0"
"13","0.2618780","0.6322484","0.14102564102564102","3.6666666666666665","3.0","0","1.0","0","4.0","0","5.0","0.1386555","3.0","0","6.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","16.0","0","0.0","0","1.0","0","24.0","0.007078507","1.0","0","10.0","0","1.0","0","25.0","0.006792919","2.0","0","5.0","0"
"14","0.2618780","0.6322484","0.14102564102564102","3.6666666666666665","3.0","0","1.0","0","4.0","0","5.0","0.1333333","3.0","0","6.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","16.0","0","0.0","0","1.0","0","24.0","0.006722689","1.0","0","10.0","0","1.0","0","25.0","0.006451613","2.0","0","5.0","0"
"15","0.2618780","0.6322484","0.14102564102564102","3.6666666666666665","3.0","0","1.0","0","4.0","0","5.0","0.1282895","3.0","0","6.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","16.0","0","0.0","0","1.0","0","24.0","0.006397638","1.0","0","10.0","0","1.0","0","25.0","0.006139798","2.0","0","5.0","0"
"16","0.2618780","0.6322484","0.14102564102564102","3.6666666666666665","3.0","0","1.0","0","4.0","0","5.0","0.1235294","3.0","0","6.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","16.0","0","0.0","0","1.0","0","24.0","0.006100218","1.0","0","10.0","0","1.0","0","25.0","0.005854474","2.0","0","5.0","0"
"17","0.2618780","0.6322484","0.14102564102564102","3.6666666666666665","3.0","0","1.0","0","4.0","0","5.0","0.1190476","3.0","0","6.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","16.0","0","0.0","0","1.0","0","24.0","0.005827506","1.0","0","10.0","0","1.0","0","25.0","0.005592841","2.0","0","5.0","0"
"18","0.2618780","0.6322484","0.14102564102564102","3.6666666666666665","3.0","0","1.0","0","4.0","0","5.0","0.1148325","3.0","0","6.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","16.0","0","0.0","0","1.0","0","24.0","0.005576856","1.0","0","10.0","0","1.0","0","25.0","0.005352364","2.0","0","5.0","0"
"19","0.2618780","0.6322484","0.14102564102564102","3.6666666666666665","3.0","0","1.0","0","4.0","0","5.0","0.1108696","3.0","0","6.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","16.0","0","0.0","0","1.0","0","24.0","0.005345912","1.0","0","10.0","0","1.0","0","25.0","0.005130785","2.0","0","5.0","0"
"20","0.2618780","0.6322484","0.14102564102564102","3.6666666666666665","3.0","0","1.0","0","4.0","0","5.0","0.1071429","3.0","0","6.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","16.0","0","0.0","0","1.0","0","24.0","0.005132592","1.0","0","10.0","0","1.0","0","25.0","0.004926108","2.0","0","5.0","0"
