"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","RD19-ADS","RD19-AIS","RD19-ACS","RD19-RCS","RD19-RIS","RD20-ADS","RD20-AIS","RD20-ACS","RD20-RCS","RD20-RIS","RD21-ADS","RD21-AIS","RD21-ACS","RD21-RCS","RD21-RIS","RD22-ADS","RD22-AIS","RD22-ACS","RD22-RCS","RD22-RIS","RD23-ADS","RD23-AIS","RD23-ACS","RD23-RCS","RD23-RIS","RD24-ADS","RD24-AIS","RD24-ACS","RD24-RCS","RD24-RIS","RD25-ADS","RD25-AIS","RD25-ACS","RD25-RCS","RD25-RIS","RD26-ADS","RD26-AIS","RD26-ACS","RD26-RCS","RD26-RIS","RD27-ADS","RD27-AIS","RD27-ACS","RD27-RCS","RD27-RIS","RD28-ADS","RD28-AIS","RD28-ACS","RD28-RCS","RD28-RIS","RD29-ADS","RD29-AIS","RD29-ACS","RD29-RCS","RD29-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"11","6.0","1.0","6.0","0.17647058823529413","0.029411764705882353","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","5.0","30.0","0.17647058823529413","0.14705882352941177","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","2.0","12.0","0.17647058823529413","0.058823529411764705","2.0","3.0","6.0","0.058823529411764705","0.08823529411764706","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","9.0","1.0","9.0","0.2647058823529412","0.029411764705882353","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","5.0","4.0","20.0","0.14705882352941177","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","8.0","3.0","24.0","0.23529411764705882","0.08823529411764706","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","6.0","36.0","0.17647058823529413","0.17647058823529413","8.0","4.0","32.0","0.23529411764705882","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","6.0","4.0","24.0","0.17647058823529413","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","3.0","18.0","0.17647058823529413","0.08823529411764706","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","3.0","4.0","12.0","0.08823529411764706","0.11764705882352941","2.0","0.0","0.0","0.058823529411764705","0.0","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","1.0","14.0","14.0","0.029411764705882353","0.4117647058823529","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","2.0","6.0","12.0","0.058823529411764705","0.17647058823529413"
"12","6.0","1.0","6.0","0.17647058823529413","0.029411764705882353","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","5.0","30.0","0.17647058823529413","0.14705882352941177","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","2.0","12.0","0.17647058823529413","0.058823529411764705","2.0","3.0","6.0","0.058823529411764705","0.08823529411764706","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","9.0","1.0","9.0","0.2647058823529412","0.029411764705882353","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","5.0","4.0","20.0","0.14705882352941177","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","8.0","3.0","24.0","0.23529411764705882","0.08823529411764706","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","6.0","36.0","0.17647058823529413","0.17647058823529413","8.0","4.0","32.0","0.23529411764705882","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","6.0","4.0","24.0","0.17647058823529413","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","3.0","18.0","0.17647058823529413","0.08823529411764706","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","3.0","4.0","12.0","0.08823529411764706","0.11764705882352941","2.0","0.0","0.0","0.058823529411764705","0.0","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","1.0","14.0","14.0","0.029411764705882353","0.4117647058823529","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","2.0","6.0","12.0","0.058823529411764705","0.17647058823529413"
"13","6.0","1.0","6.0","0.17647058823529413","0.029411764705882353","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","5.0","30.0","0.17647058823529413","0.14705882352941177","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","2.0","12.0","0.17647058823529413","0.058823529411764705","2.0","3.0","6.0","0.058823529411764705","0.08823529411764706","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","9.0","1.0","9.0","0.2647058823529412","0.029411764705882353","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","5.0","4.0","20.0","0.14705882352941177","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","8.0","3.0","24.0","0.23529411764705882","0.08823529411764706","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","6.0","36.0","0.17647058823529413","0.17647058823529413","8.0","4.0","32.0","0.23529411764705882","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","6.0","4.0","24.0","0.17647058823529413","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","3.0","18.0","0.17647058823529413","0.08823529411764706","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","3.0","4.0","12.0","0.08823529411764706","0.11764705882352941","2.0","0.0","0.0","0.058823529411764705","0.0","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","1.0","14.0","14.0","0.029411764705882353","0.4117647058823529","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","2.0","6.0","12.0","0.058823529411764705","0.17647058823529413"
"14","6.0","1.0","6.0","0.17647058823529413","0.029411764705882353","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","5.0","30.0","0.17647058823529413","0.14705882352941177","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","2.0","12.0","0.17647058823529413","0.058823529411764705","2.0","3.0","6.0","0.058823529411764705","0.08823529411764706","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","9.0","1.0","9.0","0.2647058823529412","0.029411764705882353","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","5.0","4.0","20.0","0.14705882352941177","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","8.0","3.0","24.0","0.23529411764705882","0.08823529411764706","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","6.0","36.0","0.17647058823529413","0.17647058823529413","8.0","4.0","32.0","0.23529411764705882","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","6.0","4.0","24.0","0.17647058823529413","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","3.0","18.0","0.17647058823529413","0.08823529411764706","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","3.0","4.0","12.0","0.08823529411764706","0.11764705882352941","2.0","0.0","0.0","0.058823529411764705","0.0","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","1.0","14.0","14.0","0.029411764705882353","0.4117647058823529","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","2.0","6.0","12.0","0.058823529411764705","0.17647058823529413"
"15","6.0","1.0","6.0","0.17647058823529413","0.029411764705882353","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","5.0","30.0","0.17647058823529413","0.14705882352941177","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","2.0","12.0","0.17647058823529413","0.058823529411764705","2.0","3.0","6.0","0.058823529411764705","0.08823529411764706","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","9.0","1.0","9.0","0.2647058823529412","0.029411764705882353","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","5.0","4.0","20.0","0.14705882352941177","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","8.0","3.0","24.0","0.23529411764705882","0.08823529411764706","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","6.0","36.0","0.17647058823529413","0.17647058823529413","8.0","4.0","32.0","0.23529411764705882","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","6.0","4.0","24.0","0.17647058823529413","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","3.0","18.0","0.17647058823529413","0.08823529411764706","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","3.0","4.0","12.0","0.08823529411764706","0.11764705882352941","2.0","0.0","0.0","0.058823529411764705","0.0","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","1.0","14.0","14.0","0.029411764705882353","0.4117647058823529","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","2.0","6.0","12.0","0.058823529411764705","0.17647058823529413"
"16","6.0","1.0","6.0","0.17647058823529413","0.029411764705882353","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","5.0","30.0","0.17647058823529413","0.14705882352941177","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","2.0","12.0","0.17647058823529413","0.058823529411764705","2.0","3.0","6.0","0.058823529411764705","0.08823529411764706","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","9.0","1.0","9.0","0.2647058823529412","0.029411764705882353","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","5.0","4.0","20.0","0.14705882352941177","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","8.0","3.0","24.0","0.23529411764705882","0.08823529411764706","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","6.0","36.0","0.17647058823529413","0.17647058823529413","8.0","4.0","32.0","0.23529411764705882","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","6.0","4.0","24.0","0.17647058823529413","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","3.0","18.0","0.17647058823529413","0.08823529411764706","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","3.0","4.0","12.0","0.08823529411764706","0.11764705882352941","2.0","0.0","0.0","0.058823529411764705","0.0","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","1.0","14.0","14.0","0.029411764705882353","0.4117647058823529","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","2.0","6.0","12.0","0.058823529411764705","0.17647058823529413"
"17","6.0","1.0","6.0","0.17647058823529413","0.029411764705882353","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","5.0","30.0","0.17647058823529413","0.14705882352941177","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","2.0","12.0","0.17647058823529413","0.058823529411764705","2.0","3.0","6.0","0.058823529411764705","0.08823529411764706","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","9.0","1.0","9.0","0.2647058823529412","0.029411764705882353","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","5.0","4.0","20.0","0.14705882352941177","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","8.0","3.0","24.0","0.23529411764705882","0.08823529411764706","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","6.0","36.0","0.17647058823529413","0.17647058823529413","8.0","4.0","32.0","0.23529411764705882","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","6.0","4.0","24.0","0.17647058823529413","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","3.0","18.0","0.17647058823529413","0.08823529411764706","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","3.0","4.0","12.0","0.08823529411764706","0.11764705882352941","2.0","0.0","0.0","0.058823529411764705","0.0","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","1.0","14.0","14.0","0.029411764705882353","0.4117647058823529","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","2.0","6.0","12.0","0.058823529411764705","0.17647058823529413"
"18","6.0","1.0","6.0","0.17647058823529413","0.029411764705882353","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","5.0","30.0","0.17647058823529413","0.14705882352941177","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","2.0","12.0","0.17647058823529413","0.058823529411764705","2.0","3.0","6.0","0.058823529411764705","0.08823529411764706","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","9.0","1.0","9.0","0.2647058823529412","0.029411764705882353","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","5.0","4.0","20.0","0.14705882352941177","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","8.0","3.0","24.0","0.23529411764705882","0.08823529411764706","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","6.0","36.0","0.17647058823529413","0.17647058823529413","8.0","4.0","32.0","0.23529411764705882","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","6.0","4.0","24.0","0.17647058823529413","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","3.0","18.0","0.17647058823529413","0.08823529411764706","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","3.0","4.0","12.0","0.08823529411764706","0.11764705882352941","2.0","0.0","0.0","0.058823529411764705","0.0","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","1.0","14.0","14.0","0.029411764705882353","0.4117647058823529","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","2.0","6.0","12.0","0.058823529411764705","0.17647058823529413"
"19","6.0","1.0","6.0","0.17647058823529413","0.029411764705882353","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","5.0","30.0","0.17647058823529413","0.14705882352941177","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","2.0","12.0","0.17647058823529413","0.058823529411764705","2.0","3.0","6.0","0.058823529411764705","0.08823529411764706","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","9.0","1.0","9.0","0.2647058823529412","0.029411764705882353","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","5.0","4.0","20.0","0.14705882352941177","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","8.0","3.0","24.0","0.23529411764705882","0.08823529411764706","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","6.0","36.0","0.17647058823529413","0.17647058823529413","8.0","4.0","32.0","0.23529411764705882","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","6.0","4.0","24.0","0.17647058823529413","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","3.0","18.0","0.17647058823529413","0.08823529411764706","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","3.0","4.0","12.0","0.08823529411764706","0.11764705882352941","2.0","0.0","0.0","0.058823529411764705","0.0","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","1.0","14.0","14.0","0.029411764705882353","0.4117647058823529","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","2.0","6.0","12.0","0.058823529411764705","0.17647058823529413"
"20","6.0","1.0","6.0","0.17647058823529413","0.029411764705882353","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","5.0","30.0","0.17647058823529413","0.14705882352941177","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","2.0","12.0","0.17647058823529413","0.058823529411764705","2.0","3.0","6.0","0.058823529411764705","0.08823529411764706","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","9.0","1.0","9.0","0.2647058823529412","0.029411764705882353","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","5.0","4.0","20.0","0.14705882352941177","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","8.0","3.0","24.0","0.23529411764705882","0.08823529411764706","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","6.0","36.0","0.17647058823529413","0.17647058823529413","8.0","4.0","32.0","0.23529411764705882","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","6.0","4.0","24.0","0.17647058823529413","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","3.0","18.0","0.17647058823529413","0.08823529411764706","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","3.0","4.0","12.0","0.08823529411764706","0.11764705882352941","2.0","0.0","0.0","0.058823529411764705","0.0","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","1.0","14.0","14.0","0.029411764705882353","0.4117647058823529","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","2.0","6.0","12.0","0.058823529411764705","0.17647058823529413"
"21","6.0","1.0","6.0","0.17647058823529413","0.029411764705882353","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","5.0","30.0","0.17647058823529413","0.14705882352941177","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","2.0","12.0","0.17647058823529413","0.058823529411764705","2.0","3.0","6.0","0.058823529411764705","0.08823529411764706","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","9.0","1.0","9.0","0.2647058823529412","0.029411764705882353","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","5.0","4.0","20.0","0.14705882352941177","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","8.0","3.0","24.0","0.23529411764705882","0.08823529411764706","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","6.0","6.0","36.0","0.17647058823529413","0.17647058823529413","8.0","4.0","32.0","0.23529411764705882","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","6.0","4.0","24.0","0.17647058823529413","0.11764705882352941","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","6.0","3.0","18.0","0.17647058823529413","0.08823529411764706","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","7.0","4.0","28.0","0.20588235294117646","0.11764705882352941","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","3.0","4.0","12.0","0.08823529411764706","0.11764705882352941","2.0","0.0","0.0","0.058823529411764705","0.0","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","1.0","14.0","14.0","0.029411764705882353","0.4117647058823529","1.0","31.0","31.0","0.029411764705882353","0.9117647058823529","2.0","6.0","12.0","0.058823529411764705","0.17647058823529413"
