"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"11","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","6.0","0.0","0.0","0.5454545454545454","0.0","0.0","6.0","0.0","0.0","0.5454545454545454","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"12","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","6.0","0.0","0.0","0.5454545454545454","0.0","0.0","6.0","0.0","0.0","0.5454545454545454","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"13","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","6.0","0.0","0.0","0.5454545454545454","0.0","0.0","6.0","0.0","0.0","0.5454545454545454","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"14","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","6.0","0.0","0.0","0.5454545454545454","0.0","0.0","6.0","0.0","0.0","0.5454545454545454","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"15","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","6.0","0.0","0.0","0.5454545454545454","0.0","0.0","6.0","0.0","0.0","0.5454545454545454","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"16","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","6.0","0.0","0.0","0.5454545454545454","0.0","0.0","6.0","0.0","0.0","0.5454545454545454","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"17","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","6.0","0.0","0.0","0.5454545454545454","0.0","0.0","6.0","0.0","0.0","0.5454545454545454","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"18","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","6.0","0.0","0.0","0.5454545454545454","0.0","0.0","6.0","0.0","0.0","0.5454545454545454","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"19","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","6.0","0.0","0.0","0.5454545454545454","0.0","0.0","6.0","0.0","0.0","0.5454545454545454","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"20","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","6.0","0.0","0.0","0.5454545454545454","0.0","0.0","6.0","0.0","0.0","0.5454545454545454","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"21","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","6.0","0.0","0.0","0.5454545454545454","0.0","0.0","6.0","0.0","0.0","0.5454545454545454","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
