"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","RD18-ADS","RD18-GINI -ADS","RD18-AIS","RD18-GINI -AIS","RD19-ADS","RD19-GINI -ADS","RD19-AIS","RD19-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2266667","0.5945098","0.17","4.08","4.0","0","3.0","0","5.0","0","3.0","0","8.0","0","2.0","0","5.0","0","1.0","0","3.0","0","1.0","0","7.0","0","2.0","0","5.0","0","7.0","0.1512151","4.0","0","4.0","0","4.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","4.0","0","1.0","0","6.0","0","3.0","0","4.0","0","3.0","0","4.0","0","0.0","0","6.0","0","2.0","0","4.0","0","3.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","22.0","0.01069519","1.0","0","9.0","0","1.0","0","23.0","0.01022271","2.0","0","6.0","0"
"11","0.2266667","0.5945098","0.17","4.08","4.0","0","3.0","0","5.0","0","3.0","0","8.0","0","2.0","0","5.0","0","1.0","0","3.0","0","1.0","0","7.0","0","2.0","0","5.0","0","7.0","0.1481481","4.0","0","4.0","0","4.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","4.0","0","1.0","0","6.0","0","3.0","0","4.0","0","3.0","0","4.0","0","0.0","0","6.0","0","2.0","0","4.0","0","3.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","22.0","0.01025641","1.0","0","9.0","0","1.0","0","23.0","0.009803922","2.0","0","6.0","0"
"12","0.2266667","0.5945098","0.17","4.08","4.0","0","3.0","0","5.0","0","3.0","0","8.0","0","2.0","0","5.0","0","1.0","0","3.0","0","1.0","0","7.0","0","2.0","0","5.0","0","7.0","0.1444816","4.0","0","4.0","0","4.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","4.0","0","1.0","0","6.0","0","3.0","0","4.0","0","3.0","0","4.0","0","0.0","0","6.0","0","2.0","0","4.0","0","3.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","22.0","0.009819967","1.0","0","9.0","0","1.0","0","23.0","0.009387223","2.0","0","6.0","0"
"13","0.2266667","0.5945098","0.17","4.08","4.0","0","3.0","0","5.0","0","3.0","0","8.0","0","2.0","0","5.0","0","1.0","0","3.0","0","1.0","0","7.0","0","2.0","0","5.0","0","7.0","0.1405152","4.0","0","4.0","0","4.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","4.0","0","1.0","0","6.0","0","3.0","0","4.0","0","3.0","0","4.0","0","0.0","0","6.0","0","2.0","0","4.0","0","3.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","22.0","0.009398496","1.0","0","9.0","0","1.0","0","23.0","0.008984726","2.0","0","6.0","0"
"14","0.2266667","0.5945098","0.17","4.08","4.0","0","3.0","0","5.0","0","3.0","0","8.0","0","2.0","0","5.0","0","1.0","0","3.0","0","1.0","0","7.0","0","2.0","0","5.0","0","7.0","0.1364341","4.0","0","4.0","0","4.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","4.0","0","1.0","0","6.0","0","3.0","0","4.0","0","3.0","0","4.0","0","0.0","0","6.0","0","2.0","0","4.0","0","3.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","22.0","0.008997955","1.0","0","9.0","0","1.0","0","23.0","0.008602151","2.0","0","6.0","0"
"15","0.2266667","0.5945098","0.17","4.08","4.0","0","3.0","0","5.0","0","3.0","0","8.0","0","2.0","0","5.0","0","1.0","0","3.0","0","1.0","0","7.0","0","2.0","0","5.0","0","7.0","0.1323529","4.0","0","4.0","0","4.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","4.0","0","1.0","0","6.0","0","3.0","0","4.0","0","3.0","0","4.0","0","0.0","0","6.0","0","2.0","0","4.0","0","3.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","22.0","0.008620690","1.0","0","9.0","0","1.0","0","23.0","0.008241758","2.0","0","6.0","0"
"16","0.2266667","0.5945098","0.17","4.08","4.0","0","3.0","0","5.0","0","3.0","0","8.0","0","2.0","0","5.0","0","1.0","0","3.0","0","1.0","0","7.0","0","2.0","0","5.0","0","7.0","0.1283422","4.0","0","4.0","0","4.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","4.0","0","1.0","0","6.0","0","3.0","0","4.0","0","3.0","0","4.0","0","0.0","0","6.0","0","2.0","0","4.0","0","3.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","22.0","0.008267091","1.0","0","9.0","0","1.0","0","23.0","0.007903937","2.0","0","6.0","0"
"17","0.2266667","0.5945098","0.17","4.08","4.0","0","3.0","0","5.0","0","3.0","0","8.0","0","2.0","0","5.0","0","1.0","0","3.0","0","1.0","0","7.0","0","2.0","0","5.0","0","7.0","0.1244444","4.0","0","4.0","0","4.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","4.0","0","1.0","0","6.0","0","3.0","0","4.0","0","3.0","0","4.0","0","0.0","0","6.0","0","2.0","0","4.0","0","3.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","22.0","0.007936508","1.0","0","9.0","0","1.0","0","23.0","0.007588076","2.0","0","6.0","0"
"18","0.2266667","0.5945098","0.17","4.08","4.0","0","3.0","0","5.0","0","3.0","0","8.0","0","2.0","0","5.0","0","1.0","0","3.0","0","1.0","0","7.0","0","2.0","0","5.0","0","7.0","0.1206839","4.0","0","4.0","0","4.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","4.0","0","1.0","0","6.0","0","3.0","0","4.0","0","3.0","0","4.0","0","0.0","0","6.0","0","2.0","0","4.0","0","3.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","22.0","0.007627765","1.0","0","9.0","0","1.0","0","23.0","0.007293059","2.0","0","6.0","0"
"19","0.2266667","0.5945098","0.17","4.08","4.0","0","3.0","0","5.0","0","3.0","0","8.0","0","2.0","0","5.0","0","1.0","0","3.0","0","1.0","0","7.0","0","2.0","0","5.0","0","7.0","0.1170732","4.0","0","4.0","0","4.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","4.0","0","1.0","0","6.0","0","3.0","0","4.0","0","3.0","0","4.0","0","0.0","0","6.0","0","2.0","0","4.0","0","3.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","22.0","0.007339450","1.0","0","9.0","0","1.0","0","23.0","0.007017544","2.0","0","6.0","0"
"20","0.2266667","0.5945098","0.17","4.08","4.0","0","3.0","0","5.0","0","3.0","0","8.0","0","2.0","0","5.0","0","1.0","0","3.0","0","1.0","0","7.0","0","2.0","0","5.0","0","7.0","0.1136174","4.0","0","4.0","0","4.0","0","1.0","0","5.0","0","2.0","0","4.0","0","2.0","0","4.0","0","1.0","0","6.0","0","3.0","0","4.0","0","3.0","0","4.0","0","0.0","0","6.0","0","2.0","0","4.0","0","3.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","22.0","0.007070077","1.0","0","9.0","0","1.0","0","23.0","0.006760115","2.0","0","6.0","0"
