"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS"
"11","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","8.0","0.0","0.0","0.7272727272727273","0.0","0.0","6.0","0.0","0.0","0.5454545454545454","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","8.0","0.0","0.0","0.7272727272727273","0.0","0.0","6.0","0.0","0.0","0.5454545454545454","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","2.0","4.0","8.0","0.16666666666666666","0.3333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","9.0","0.0","0.0","0.75","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","1.0","3.0","3.0","0.08333333333333333","0.25","1.0","9.0","9.0","0.08333333333333333","0.75","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","2.0","4.0","8.0","0.16666666666666666","0.3333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","9.0","0.0","0.0","0.75","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","1.0","3.0","3.0","0.08333333333333333","0.25","1.0","9.0","9.0","0.08333333333333333","0.75","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","2.0","4.0","8.0","0.16666666666666666","0.3333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","9.0","0.0","0.0","0.75","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","1.0","3.0","3.0","0.08333333333333333","0.25","1.0","9.0","9.0","0.08333333333333333","0.75","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","2.0","4.0","8.0","0.16666666666666666","0.3333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","9.0","0.0","0.0","0.75","0.0","0.0","7.0","0.0","0.0","0.5833333333333334","1.0","3.0","3.0","0.08333333333333333","0.25","1.0","9.0","9.0","0.08333333333333333","0.75","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","2.0","5.0","10.0","0.15384615384615385","0.38461538461538464","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","10.0","0.0","0.0","0.7692307692307693","0.0","0.0","8.0","0.0","0.0","0.6153846153846154","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","2.0","5.0","10.0","0.15384615384615385","0.38461538461538464","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","10.0","0.0","0.0","0.7692307692307693","0.0","0.0","8.0","0.0","0.0","0.6153846153846154","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","2.0","5.0","10.0","0.15384615384615385","0.38461538461538464","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","10.0","0.0","0.0","0.7692307692307693","0.0","0.0","8.0","0.0","0.0","0.6153846153846154","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","2.0","5.0","10.0","0.15384615384615385","0.38461538461538464","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","10.0","0.0","0.0","0.7692307692307693","0.0","0.0","8.0","0.0","0.0","0.6153846153846154","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","2.0","7.0","14.0","0.13333333333333333","0.4666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","12.0","0.0","0.0","0.8","0.0","0.0","10.0","0.0","0.0","0.6666666666666666","1.0","3.0","3.0","0.06666666666666667","0.2","1.0","12.0","12.0","0.06666666666666667","0.8","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667"
