"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2651515","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0.1212121","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0.03325942","0.0","0","5.0","0.05565863","2.0","0","2.0","0"
"11","0.2651515","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0.125","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0.03333333","0.0","0","5.0","0.05555556","2.0","0","2.0","0"
"12","0.2651515","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0.1266968","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0.03296703","0.0","0","5.0","0.05475880","2.0","0","2.0","0"
"13","0.2651515","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0.1269841","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0.03234501","0.0","0","5.0","0.05357143","2.0","0","2.0","0"
"14","0.2651515","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0.1263158","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0.03157895","0.0","0","5.0","0.05217391","2.0","0","2.0","0"
"15","0.2651515","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0.125","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0.03073770","0.0","0","5.0","0.05067568","2.0","0","2.0","0"
"16","0.2651515","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0.1232493","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0.02986425","0.0","0","5.0","0.04914371","2.0","0","2.0","0"
"17","0.2651515","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0.1212121","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0.02898551","0.0","0","5.0","0.04761905","2.0","0","2.0","0"
"18","0.2651515","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0.1189931","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0.02811824","0.0","0","5.0","0.04612655","2.0","0","2.0","0"
"19","0.2651515","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0.1166667","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0.02727273","0.0","0","5.0","0.04468085","2.0","0","2.0","0"
"20","0.2651515","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0.1142857","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0.02645503","0.0","0","5.0","0.04329004","2.0","0","2.0","0"
