"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.1596188","0.7468731","0.1442687747035573","3.1739130434782608","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","4.0","0.1704545","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","21.0","0.01206758","1.0","0","10.0","0.02597403","1.0","0","21.0","0.01206758","3.0","0","4.0","0"
"11","0.1596188","0.7468731","0.1442687747035573","3.1739130434782608","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","4.0","0.1715686","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","21.0","0.01180837","1.0","0","10.0","0.02536232","1.0","0","21.0","0.01180837","3.0","0","4.0","0"
"12","0.1596188","0.7468731","0.1442687747035573","3.1739130434782608","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","4.0","0.1709402","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","21.0","0.01148106","1.0","0","10.0","0.02461538","1.0","0","21.0","0.01148106","3.0","0","4.0","0"
"13","0.1596188","0.7468731","0.1442687747035573","3.1739130434782608","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","4.0","0.1691729","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","21.0","0.01112210","1.0","0","10.0","0.02380952","1.0","0","21.0","0.01112210","3.0","0","4.0","0"
"14","0.1596188","0.7468731","0.1442687747035573","3.1739130434782608","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","4.0","0.1666667","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","21.0","0.01075269","1.0","0","10.0","0.02298851","1.0","0","21.0","0.01075269","3.0","0","4.0","0"
"15","0.1596188","0.7468731","0.1442687747035573","3.1739130434782608","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","4.0","0.1636905","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","21.0","0.01038520","1.0","0","10.0","0.02217742","1.0","0","21.0","0.01038520","3.0","0","4.0","0"
"16","0.1596188","0.7468731","0.1442687747035573","3.1739130434782608","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","4.0","0.1604278","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","21.0","0.01002674","1.0","0","10.0","0.02139037","1.0","0","21.0","0.01002674","3.0","0","4.0","0"
"17","0.1596188","0.7468731","0.1442687747035573","3.1739130434782608","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","4.0","0.1570048","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","21.0","0.009681263","1.0","0","10.0","0.02063492","1.0","0","21.0","0.009681263","3.0","0","4.0","0"
"18","0.1596188","0.7468731","0.1442687747035573","3.1739130434782608","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","4.0","0.1535088","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","21.0","0.009350788","1.0","0","10.0","0.01991465","1.0","0","21.0","0.009350788","3.0","0","4.0","0"
"19","0.1596188","0.7468731","0.1442687747035573","3.1739130434782608","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","4.0","0.15","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","21.0","0.009036145","1.0","0","10.0","0.01923077","1.0","0","21.0","0.009036145","3.0","0","4.0","0"
"20","0.1596188","0.7468731","0.1442687747035573","3.1739130434782608","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","4.0","0.1465201","4.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","21.0","0.008737440","1.0","0","10.0","0.01858304","1.0","0","21.0","0.008737440","3.0","0","4.0","0"
