"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2685905","0.5860155","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","5.0","0.1434059","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02679426","8.0","0","5.0","0","1.0","0","7.0","0.03486924","1.0","0","14.0","0.01696970","3.0","0","4.0","0"
"11","0.2685905","0.5860155","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","5.0","0.1403509","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02564103","8.0","0","5.0","0","1.0","0","7.0","0.03333333","1.0","0","14.0","0.01626016","3.0","0","4.0","0"
"12","0.2685905","0.5860155","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","5.0","0.1367521","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02450647","8.0","0","5.0","0","1.0","0","7.0","0.03183024","1.0","0","14.0","0.01555748","3.0","0","4.0","0"
"13","0.2685905","0.5860155","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","5.0","0.1328904","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02341920","8.0","0","5.0","0","1.0","0","7.0","0.03039514","1.0","0","14.0","0.01488095","3.0","0","4.0","0"
"14","0.2685905","0.5860155","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","5.0","0.1289377","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02239186","8.0","0","5.0","0","1.0","0","7.0","0.02904290","1.0","0","14.0","0.01423948","3.0","0","4.0","0"
"15","0.2685905","0.5860155","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","5.0","0.125","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02142857","8.0","0","5.0","0","1.0","0","7.0","0.02777778","1.0","0","14.0","0.01363636","3.0","0","4.0","0"
"16","0.2685905","0.5860155","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","5.0","0.1211415","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02052902","8.0","0","5.0","0","1.0","0","7.0","0.02659847","1.0","0","14.0","0.01307190","3.0","0","4.0","0"
"17","0.2685905","0.5860155","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","5.0","0.1174004","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.01969058","8.0","0","5.0","0","1.0","0","7.0","0.02550091","1.0","0","14.0","0.01254480","3.0","0","4.0","0"
"18","0.2685905","0.5860155","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","5.0","0.1137980","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.01890955","8.0","0","5.0","0","1.0","0","7.0","0.02447980","1.0","0","14.0","0.01205303","3.0","0","4.0","0"
"19","0.2685905","0.5860155","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","5.0","0.1103448","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.01818182","8.0","0","5.0","0","1.0","0","7.0","0.02352941","1.0","0","14.0","0.01159420","3.0","0","4.0","0"
"20","0.2685905","0.5860155","0.1948529411764706","3.1176470588235294","4.0","0","0.0","0","2.0","0","5.0","0.1070445","4.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.01750322","8.0","0","5.0","0","1.0","0","7.0","0.02264402","1.0","0","14.0","0.01116585","3.0","0","4.0","0"
