"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"10","0.3670310","0.5619308","0.19934640522875818","3.388888888888889","2.0","0.08727273","4.0","0.04642166","13.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","15.0","0.01298701","1.0","0","7.0","0","1.0","0","16.0","0.01218893"
"11","0.3670310","0.5619308","0.19934640522875818","3.388888888888889","2.0","0.08333333","4.0","0.04411765","13.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","15.0","0.01229508","1.0","0","7.0","0","1.0","0","16.0","0.01153846"
"12","0.3670310","0.5619308","0.19934640522875818","3.388888888888889","2.0","0.07957560","4.0","0.04195804","13.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","15.0","0.01165501","1.0","0","7.0","0","1.0","0","16.0","0.01093693"
"13","0.3670310","0.5619308","0.19934640522875818","3.388888888888889","2.0","0.07603687","4.0","0.03995157","13.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","15.0","0.01106640","1.0","0","7.0","0","1.0","0","16.0","0.01038389"
"14","0.3670310","0.5619308","0.19934640522875818","3.388888888888889","2.0","0.07272727","4.0","0.03809524","13.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","15.0","0.01052632","1.0","0","7.0","0","1.0","0","16.0","0.009876543"
"15","0.3670310","0.5619308","0.19934640522875818","3.388888888888889","2.0","0.06964286","4.0","0.03638060","13.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","15.0","0.01003086","1.0","0","7.0","0","1.0","0","16.0","0.009411197"
"16","0.3670310","0.5619308","0.19934640522875818","3.388888888888889","2.0","0.06677266","4.0","0.03479702","13.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","15.0","0.009575923","1.0","0","7.0","0","1.0","0","16.0","0.008983957"
"17","0.3670310","0.5619308","0.19934640522875818","3.388888888888889","2.0","0.06410256","4.0","0.03333333","13.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","15.0","0.009157509","1.0","0","7.0","0","1.0","0","16.0","0.008591065"
"18","0.3670310","0.5619308","0.19934640522875818","3.388888888888889","2.0","0.06161746","4.0","0.03197868","13.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","15.0","0.008771930","1.0","0","7.0","0","1.0","0","16.0","0.008229042"
"19","0.3670310","0.5619308","0.19934640522875818","3.388888888888889","2.0","0.05930233","4.0","0.03072289","13.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","15.0","0.008415842","1.0","0","7.0","0","1.0","0","16.0","0.007894737"
"20","0.3670310","0.5619308","0.19934640522875818","3.388888888888889","2.0","0.05714286","4.0","0.02955665","13.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","0.0","0","1.0","0","15.0","0.008086253","1.0","0","7.0","0","1.0","0","16.0","0.007585335"
