"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2181818","0.5742424","0.1736842105263158","3.3","4.0","0","2.0","0","2.0","0","4.0","0.1386749","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","5.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","4.0","0","1.0","0","6.0","0","2.0","0","5.0","0","1.0","0","3.0","0","0.0","0","0.0","0","18.0","0.01413095","1.0","0","18.0","0.01413095","2.0","0","3.0","0"
"11","0.2181818","0.5742424","0.1736842105263158","3.3","4.0","0","2.0","0","2.0","0","4.0","0.1388889","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","5.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","4.0","0","1.0","0","6.0","0","2.0","0","5.0","0","1.0","0","3.0","0","0.0","0","0.0","0","18.0","0.01382306","1.0","0","18.0","0.01382306","2.0","0","3.0","0"
"12","0.2181818","0.5742424","0.1736842105263158","3.3","4.0","0","2.0","0","2.0","0","4.0","0.1377727","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","5.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","4.0","0","1.0","0","6.0","0","2.0","0","5.0","0","1.0","0","3.0","0","0.0","0","0.0","0","18.0","0.01343635","1.0","0","18.0","0.01343635","2.0","0","3.0","0"
"13","0.2181818","0.5742424","0.1736842105263158","3.3","4.0","0","2.0","0","2.0","0","4.0","0.1358149","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","5.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","4.0","0","1.0","0","6.0","0","2.0","0","5.0","0","1.0","0","3.0","0","0.0","0","0.0","0","18.0","0.01301330","1.0","0","18.0","0.01301330","2.0","0","3.0","0"
"14","0.2181818","0.5742424","0.1736842105263158","3.3","4.0","0","2.0","0","2.0","0","4.0","0.1333333","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","5.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","4.0","0","1.0","0","6.0","0","2.0","0","5.0","0","1.0","0","3.0","0","0.0","0","0.0","0","18.0","0.01257862","1.0","0","18.0","0.01257862","2.0","0","3.0","0"
"15","0.2181818","0.5742424","0.1736842105263158","3.3","4.0","0","2.0","0","2.0","0","4.0","0.1305380","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","5.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","4.0","0","1.0","0","6.0","0","2.0","0","5.0","0","1.0","0","3.0","0","0.0","0","0.0","0","18.0","0.01214664","1.0","0","18.0","0.01214664","2.0","0","3.0","0"
"16","0.2181818","0.5742424","0.1736842105263158","3.3","4.0","0","2.0","0","2.0","0","4.0","0.1275691","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","5.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","4.0","0","1.0","0","6.0","0","2.0","0","5.0","0","1.0","0","3.0","0","0.0","0","0.0","0","18.0","0.01172562","1.0","0","18.0","0.01172562","2.0","0","3.0","0"
"17","0.2181818","0.5742424","0.1736842105263158","3.3","4.0","0","2.0","0","2.0","0","4.0","0.1245211","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","5.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","4.0","0","1.0","0","6.0","0","2.0","0","5.0","0","1.0","0","3.0","0","0.0","0","0.0","0","18.0","0.01132010","1.0","0","18.0","0.01132010","2.0","0","3.0","0"
"18","0.2181818","0.5742424","0.1736842105263158","3.3","4.0","0","2.0","0","2.0","0","4.0","0.1214575","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","5.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","4.0","0","1.0","0","6.0","0","2.0","0","5.0","0","1.0","0","3.0","0","0.0","0","0.0","0","18.0","0.01093238","1.0","0","18.0","0.01093238","2.0","0","3.0","0"
"19","0.2181818","0.5742424","0.1736842105263158","3.3","4.0","0","2.0","0","2.0","0","4.0","0.1184211","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","5.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","4.0","0","1.0","0","6.0","0","2.0","0","5.0","0","1.0","0","3.0","0","0.0","0","0.0","0","18.0","0.01056338","1.0","0","18.0","0.01056338","2.0","0","3.0","0"
"20","0.2181818","0.5742424","0.1736842105263158","3.3","4.0","0","2.0","0","2.0","0","4.0","0.1154401","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","5.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","4.0","0","1.0","0","6.0","0","2.0","0","5.0","0","1.0","0","3.0","0","0.0","0","0.0","0","18.0","0.01021320","1.0","0","18.0","0.01021320","2.0","0","3.0","0"
