"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS"
"11","0.0","2.0","0.0","0.0","0.2222222222222222","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","5.0","4.0","20.0","0.5555555555555556","0.4444444444444444"
"12","0.0","2.0","0.0","0.0","0.2222222222222222","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","5.0","4.0","20.0","0.5555555555555556","0.4444444444444444"
"13","0.0","2.0","0.0","0.0","0.2222222222222222","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","5.0","4.0","20.0","0.5555555555555556","0.4444444444444444"
"14","0.0","2.0","0.0","0.0","0.2222222222222222","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","5.0","4.0","20.0","0.5555555555555556","0.4444444444444444"
"15","0.0","2.0","0.0","0.0","0.2222222222222222","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","5.0","4.0","20.0","0.5555555555555556","0.4444444444444444"
"16","0.0","2.0","0.0","0.0","0.2222222222222222","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","5.0","4.0","20.0","0.5555555555555556","0.4444444444444444"
"17","0.0","2.0","0.0","0.0","0.2222222222222222","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","5.0","4.0","20.0","0.5555555555555556","0.4444444444444444"
"18","0.0","2.0","0.0","0.0","0.2222222222222222","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","5.0","4.0","20.0","0.5555555555555556","0.4444444444444444"
"19","0.0","2.0","0.0","0.0","0.2222222222222222","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","5.0","4.0","20.0","0.5555555555555556","0.4444444444444444"
"20","0.0","2.0","0.0","0.0","0.2222222222222222","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","5.0","4.0","20.0","0.5555555555555556","0.4444444444444444"
"21","0.0","2.0","0.0","0.0","0.2222222222222222","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","2.0","0.0","0.0","0.2222222222222222","5.0","4.0","20.0","0.5555555555555556","0.4444444444444444"
