"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2836538","0.5144231","0.20512820512820512","2.4615384615384617","2.0","0","2.0","0.1696970","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03486924","5.0","0","4.0","0","1.0","0","10.0","0.02401372","2.0","0","2.0","0"
"11","0.2836538","0.5144231","0.20512820512820512","2.4615384615384617","2.0","0","2.0","0.1666667","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03333333","5.0","0","4.0","0","1.0","0","10.0","0.02298851","2.0","0","2.0","0"
"12","0.2836538","0.5144231","0.20512820512820512","2.4615384615384617","2.0","0","2.0","0.1628959","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03183024","5.0","0","4.0","0","1.0","0","10.0","0.02197802","2.0","0","2.0","0"
"13","0.2836538","0.5144231","0.20512820512820512","2.4615384615384617","2.0","0","2.0","0.1587302","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03039514","5.0","0","4.0","0","1.0","0","10.0","0.02100840","2.0","0","2.0","0"
"14","0.2836538","0.5144231","0.20512820512820512","2.4615384615384617","2.0","0","2.0","0.1543860","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.02904290","5.0","0","4.0","0","1.0","0","10.0","0.02009132","2.0","0","2.0","0"
"15","0.2836538","0.5144231","0.20512820512820512","2.4615384615384617","2.0","0","2.0","0.15","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.02777778","5.0","0","4.0","0","1.0","0","10.0","0.01923077","2.0","0","2.0","0"
"16","0.2836538","0.5144231","0.20512820512820512","2.4615384615384617","2.0","0","2.0","0.1456583","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.02659847","5.0","0","4.0","0","1.0","0","10.0","0.01842665","2.0","0","2.0","0"
"17","0.2836538","0.5144231","0.20512820512820512","2.4615384615384617","2.0","0","2.0","0.1414141","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.02550091","5.0","0","4.0","0","1.0","0","10.0","0.01767677","2.0","0","2.0","0"
"18","0.2836538","0.5144231","0.20512820512820512","2.4615384615384617","2.0","0","2.0","0.1372998","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.02447980","5.0","0","4.0","0","1.0","0","10.0","0.01697793","2.0","0","2.0","0"
"19","0.2836538","0.5144231","0.20512820512820512","2.4615384615384617","2.0","0","2.0","0.1333333","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.02352941","5.0","0","4.0","0","1.0","0","10.0","0.01632653","2.0","0","2.0","0"
"20","0.2836538","0.5144231","0.20512820512820512","2.4615384615384617","2.0","0","2.0","0.1295238","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.02264402","5.0","0","4.0","0","1.0","0","10.0","0.01571891","2.0","0","2.0","0"
