"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS"
"11","7.0","1.0","7.0","0.7777777777777778","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","7.0","1.0","7.0","0.7777777777777778","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","7.0","1.0","7.0","0.7","0.1","3.0","1.0","3.0","0.3","0.1","2.0","2.0","4.0","0.2","0.2","3.0","2.0","6.0","0.3","0.2","3.0","2.0","6.0","0.3","0.2","4.0","0.0","0.0","0.4","0.0","1.0","7.0","7.0","0.1","0.7","1.0","3.0","3.0","0.1","0.3","1.0","7.0","7.0","0.1","0.7","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
"14","7.0","1.0","7.0","0.7","0.1","3.0","1.0","3.0","0.3","0.1","2.0","2.0","4.0","0.2","0.2","3.0","2.0","6.0","0.3","0.2","3.0","2.0","6.0","0.3","0.2","4.0","0.0","0.0","0.4","0.0","1.0","7.0","7.0","0.1","0.7","1.0","3.0","3.0","0.1","0.3","1.0","7.0","7.0","0.1","0.7","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
"15","7.0","1.0","7.0","0.7","0.1","3.0","1.0","3.0","0.3","0.1","2.0","2.0","4.0","0.2","0.2","3.0","2.0","6.0","0.3","0.2","3.0","2.0","6.0","0.3","0.2","4.0","0.0","0.0","0.4","0.0","1.0","7.0","7.0","0.1","0.7","1.0","3.0","3.0","0.1","0.3","1.0","7.0","7.0","0.1","0.7","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
"16","7.0","1.0","7.0","0.7","0.1","3.0","1.0","3.0","0.3","0.1","2.0","2.0","4.0","0.2","0.2","3.0","2.0","6.0","0.3","0.2","3.0","2.0","6.0","0.3","0.2","4.0","0.0","0.0","0.4","0.0","1.0","7.0","7.0","0.1","0.7","1.0","3.0","3.0","0.1","0.3","1.0","7.0","7.0","0.1","0.7","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
"17","7.0","1.0","7.0","0.7","0.1","3.0","1.0","3.0","0.3","0.1","2.0","2.0","4.0","0.2","0.2","3.0","2.0","6.0","0.3","0.2","3.0","2.0","6.0","0.3","0.2","4.0","0.0","0.0","0.4","0.0","1.0","7.0","7.0","0.1","0.7","1.0","3.0","3.0","0.1","0.3","1.0","7.0","7.0","0.1","0.7","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
"18","7.0","1.0","7.0","0.7","0.1","3.0","1.0","3.0","0.3","0.1","2.0","2.0","4.0","0.2","0.2","3.0","2.0","6.0","0.3","0.2","3.0","2.0","6.0","0.3","0.2","4.0","0.0","0.0","0.4","0.0","1.0","7.0","7.0","0.1","0.7","1.0","3.0","3.0","0.1","0.3","1.0","7.0","7.0","0.1","0.7","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
"19","7.0","1.0","7.0","0.7","0.1","3.0","1.0","3.0","0.3","0.1","2.0","2.0","4.0","0.2","0.2","3.0","2.0","6.0","0.3","0.2","3.0","2.0","6.0","0.3","0.2","4.0","0.0","0.0","0.4","0.0","1.0","7.0","7.0","0.1","0.7","1.0","3.0","3.0","0.1","0.3","1.0","7.0","7.0","0.1","0.7","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
"20","7.0","1.0","7.0","0.7","0.1","3.0","1.0","3.0","0.3","0.1","2.0","2.0","4.0","0.2","0.2","3.0","2.0","6.0","0.3","0.2","3.0","2.0","6.0","0.3","0.2","4.0","0.0","0.0","0.4","0.0","1.0","7.0","7.0","0.1","0.7","1.0","3.0","3.0","0.1","0.3","1.0","7.0","7.0","0.1","0.7","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
"21","7.0","2.0","14.0","0.6363636363636364","0.18181818181818182","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","5.0","0.0","0.0","0.45454545454545453","0.0","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091"
