"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS","MSV10-ADS","MSV10-AIS","MSV10-ACS","MSV10-RCS","MSV10-RIS","MSV11-ADS","MSV11-AIS","MSV11-ACS","MSV11-RCS","MSV11-RIS","MSV12-ADS","MSV12-AIS","MSV12-ACS","MSV12-RCS","MSV12-RIS"
"11","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","3.0","3.0","0.041666666666666664","0.125","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","0.0","0.0","0.041666666666666664","0.0","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","9.0","1.0","9.0","0.375","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","3.0","3.0","0.041666666666666664","0.125","3.0","2.0","6.0","0.125","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","5.0","0.0","0.0","0.20833333333333334","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","11.0","9.0","99.0","0.4583333333333333","0.375","0.0","11.0","0.0","0.0","0.4583333333333333","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","0.0","0.0","0.125","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","3.0","3.0","0.041666666666666664","0.125","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","0.0","0.0","0.041666666666666664","0.0","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","9.0","1.0","9.0","0.375","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","3.0","3.0","0.041666666666666664","0.125","3.0","2.0","6.0","0.125","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","5.0","0.0","0.0","0.20833333333333334","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","11.0","9.0","99.0","0.4583333333333333","0.375","0.0","11.0","0.0","0.0","0.4583333333333333","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","0.0","0.0","0.125","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","3.0","3.0","0.041666666666666664","0.125","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","0.0","0.0","0.041666666666666664","0.0","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","9.0","1.0","9.0","0.375","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","3.0","3.0","0.041666666666666664","0.125","3.0","2.0","6.0","0.125","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","5.0","0.0","0.0","0.20833333333333334","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","11.0","9.0","99.0","0.4583333333333333","0.375","0.0","11.0","0.0","0.0","0.4583333333333333","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","0.0","0.0","0.125","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","3.0","3.0","0.041666666666666664","0.125","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","0.0","0.0","0.041666666666666664","0.0","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","9.0","1.0","9.0","0.375","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","3.0","3.0","0.041666666666666664","0.125","3.0","2.0","6.0","0.125","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","5.0","0.0","0.0","0.20833333333333334","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","11.0","9.0","99.0","0.4583333333333333","0.375","0.0","11.0","0.0","0.0","0.4583333333333333","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","0.0","0.0","0.125","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","1.0","2.0","2.0","0.04","0.08","1.0","1.0","1.0","0.04","0.04","2.0","3.0","6.0","0.08","0.12","1.0","1.0","1.0","0.04","0.04","1.0","0.0","0.0","0.04","0.0","2.0","2.0","4.0","0.08","0.08","9.0","1.0","9.0","0.36","0.04","2.0","1.0","2.0","0.08","0.04","2.0","2.0","4.0","0.08","0.08","1.0","1.0","1.0","0.04","0.04","1.0","3.0","3.0","0.04","0.12","3.0","2.0","6.0","0.12","0.08","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","3.0","1.0","3.0","0.12","0.04","3.0","2.0","6.0","0.12","0.08","5.0","0.0","0.0","0.2","0.0","1.0","14.0","14.0","0.04","0.56","11.0","9.0","99.0","0.44","0.36","0.0","11.0","0.0","0.0","0.44","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","1.0","2.0","2.0","0.04","0.08","1.0","1.0","1.0","0.04","0.04","2.0","3.0","6.0","0.08","0.12","1.0","1.0","1.0","0.04","0.04","1.0","0.0","0.0","0.04","0.0","2.0","2.0","4.0","0.08","0.08","9.0","1.0","9.0","0.36","0.04","2.0","1.0","2.0","0.08","0.04","2.0","2.0","4.0","0.08","0.08","1.0","1.0","1.0","0.04","0.04","1.0","3.0","3.0","0.04","0.12","3.0","2.0","6.0","0.12","0.08","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","3.0","1.0","3.0","0.12","0.04","3.0","2.0","6.0","0.12","0.08","5.0","0.0","0.0","0.2","0.0","1.0","14.0","14.0","0.04","0.56","11.0","9.0","99.0","0.44","0.36","0.0","11.0","0.0","0.0","0.44","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","1.0","2.0","2.0","0.04","0.08","1.0","1.0","1.0","0.04","0.04","2.0","3.0","6.0","0.08","0.12","1.0","1.0","1.0","0.04","0.04","1.0","0.0","0.0","0.04","0.0","2.0","2.0","4.0","0.08","0.08","9.0","1.0","9.0","0.36","0.04","2.0","1.0","2.0","0.08","0.04","2.0","2.0","4.0","0.08","0.08","1.0","1.0","1.0","0.04","0.04","1.0","3.0","3.0","0.04","0.12","3.0","2.0","6.0","0.12","0.08","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","3.0","1.0","3.0","0.12","0.04","3.0","2.0","6.0","0.12","0.08","5.0","0.0","0.0","0.2","0.0","1.0","14.0","14.0","0.04","0.56","11.0","9.0","99.0","0.44","0.36","0.0","11.0","0.0","0.0","0.44","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","1.0","2.0","2.0","0.037037037037037035","0.07407407407407407","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","3.0","6.0","0.07407407407407407","0.1111111111111111","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","9.0","1.0","9.0","0.3333333333333333","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","1.0","3.0","3.0","0.037037037037037035","0.1111111111111111","3.0","2.0","6.0","0.1111111111111111","0.07407407407407407","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","2.0","6.0","0.1111111111111111","0.07407407407407407","5.0","0.0","0.0","0.18518518518518517","0.0","1.0","16.0","16.0","0.037037037037037035","0.5925925925925926","11.0","10.0","110.0","0.4074074074074074","0.37037037037037035","0.0","13.0","0.0","0.0","0.48148148148148145","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","1.0","2.0","2.0","0.03571428571428571","0.07142857142857142","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","2.0","3.0","6.0","0.07142857142857142","0.10714285714285714","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","1.0","0.0","0.0","0.03571428571428571","0.0","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","9.0","1.0","9.0","0.32142857142857145","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","1.0","3.0","3.0","0.03571428571428571","0.10714285714285714","3.0","2.0","6.0","0.10714285714285714","0.07142857142857142","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","3.0","2.0","6.0","0.10714285714285714","0.07142857142857142","5.0","0.0","0.0","0.17857142857142858","0.0","1.0","17.0","17.0","0.03571428571428571","0.6071428571428571","11.0","10.0","110.0","0.39285714285714285","0.35714285714285715","0.0","14.0","0.0","0.0","0.5","2.0","0.0","0.0","0.07142857142857142","0.0","3.0","0.0","0.0","0.10714285714285714","0.0","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","3.0","0.0","0.0","0.10714285714285714","0.0","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","3.0","0.0","0.0","0.10714285714285714","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","1.0","2.0","2.0","0.03333333333333333","0.06666666666666667","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","2.0","3.0","6.0","0.06666666666666667","0.1","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","1.0","0.0","0.0","0.03333333333333333","0.0","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","9.0","1.0","9.0","0.3","0.03333333333333333","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","1.0","3.0","3.0","0.03333333333333333","0.1","3.0","2.0","6.0","0.1","0.06666666666666667","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","3.0","1.0","3.0","0.1","0.03333333333333333","4.0","2.0","8.0","0.13333333333333333","0.06666666666666667","5.0","0.0","0.0","0.16666666666666666","0.0","1.0","19.0","19.0","0.03333333333333333","0.6333333333333333","11.0","10.0","110.0","0.36666666666666664","0.3333333333333333","0.0","15.0","0.0","0.0","0.5","2.0","0.0","0.0","0.06666666666666667","0.0","3.0","0.0","0.0","0.1","0.0","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","3.0","0.0","0.0","0.1","0.0","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","0.0","0.0","0.1","0.0","2.0","0.0","0.0","0.06666666666666667","0.0","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","1.0","2.0","2.0","0.03125","0.0625","2.0","2.0","4.0","0.0625","0.0625","2.0","4.0","8.0","0.0625","0.125","1.0","1.0","1.0","0.03125","0.03125","1.0","0.0","0.0","0.03125","0.0","2.0","2.0","4.0","0.0625","0.0625","9.0","1.0","9.0","0.28125","0.03125","2.0","2.0","4.0","0.0625","0.0625","2.0","2.0","4.0","0.0625","0.0625","1.0","2.0","2.0","0.03125","0.0625","1.0","3.0","3.0","0.03125","0.09375","3.0","2.0","6.0","0.09375","0.0625","2.0","2.0","4.0","0.0625","0.0625","2.0","2.0","4.0","0.0625","0.0625","3.0","1.0","3.0","0.09375","0.03125","4.0","2.0","8.0","0.125","0.0625","5.0","0.0","0.0","0.15625","0.0","1.0","21.0","21.0","0.03125","0.65625","11.0","10.0","110.0","0.34375","0.3125","0.0","16.0","0.0","0.0","0.5","2.0","0.0","0.0","0.0625","0.0","3.0","0.0","0.0","0.09375","0.0","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","1.0","1.0","1.0","0.03125","0.03125","3.0","0.0","0.0","0.09375","0.0","2.0","1.0","2.0","0.0625","0.03125","3.0","0.0","0.0","0.09375","0.0","2.0","0.0","0.0","0.0625","0.0","2.0","1.0","2.0","0.0625","0.03125","3.0","0.0","0.0","0.09375","0.0","2.0","0.0","0.0","0.0625","0.0"
