"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS"
"11","6.0","5.0","30.0","0.375","0.3125","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","2.0","6.0","0.1875","0.125","2.0","2.0","4.0","0.125","0.125","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","2.0","4.0","0.125","0.125","2.0","2.0","4.0","0.125","0.125","2.0","1.0","2.0","0.125","0.0625","11.0","0.0","0.0","0.6875","0.0","0.0","13.0","0.0","0.0","0.8125","1.0","14.0","14.0","0.0625","0.875"
"12","6.0","5.0","30.0","0.375","0.3125","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","2.0","6.0","0.1875","0.125","2.0","2.0","4.0","0.125","0.125","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","2.0","4.0","0.125","0.125","2.0","2.0","4.0","0.125","0.125","2.0","1.0","2.0","0.125","0.0625","11.0","0.0","0.0","0.6875","0.0","0.0","13.0","0.0","0.0","0.8125","1.0","14.0","14.0","0.0625","0.875"
"13","6.0","5.0","30.0","0.375","0.3125","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","2.0","6.0","0.1875","0.125","2.0","2.0","4.0","0.125","0.125","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","2.0","4.0","0.125","0.125","2.0","2.0","4.0","0.125","0.125","2.0","1.0","2.0","0.125","0.0625","11.0","0.0","0.0","0.6875","0.0","0.0","13.0","0.0","0.0","0.8125","1.0","14.0","14.0","0.0625","0.875"
"14","6.0","5.0","30.0","0.375","0.3125","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","2.0","6.0","0.1875","0.125","2.0","2.0","4.0","0.125","0.125","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","2.0","4.0","0.125","0.125","2.0","2.0","4.0","0.125","0.125","2.0","1.0","2.0","0.125","0.0625","11.0","0.0","0.0","0.6875","0.0","0.0","13.0","0.0","0.0","0.8125","1.0","14.0","14.0","0.0625","0.875"
"15","4.0","5.0","20.0","0.25","0.3125","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","2.0","4.0","0.125","0.125","2.0","2.0","4.0","0.125","0.125","2.0","1.0","2.0","0.125","0.0625","11.0","0.0","0.0","0.6875","0.0","0.0","13.0","0.0","0.0","0.8125","1.0","14.0","14.0","0.0625","0.875"
"16","4.0","5.0","20.0","0.25","0.3125","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","2.0","4.0","0.125","0.125","2.0","2.0","4.0","0.125","0.125","2.0","1.0","2.0","0.125","0.0625","11.0","0.0","0.0","0.6875","0.0","0.0","13.0","0.0","0.0","0.8125","1.0","14.0","14.0","0.0625","0.875"
"17","4.0","5.0","20.0","0.25","0.3125","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","2.0","4.0","0.125","0.125","2.0","2.0","4.0","0.125","0.125","2.0","1.0","2.0","0.125","0.0625","11.0","0.0","0.0","0.6875","0.0","0.0","13.0","0.0","0.0","0.8125","1.0","14.0","14.0","0.0625","0.875"
"18","2.0","5.0","10.0","0.125","0.3125","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","11.0","0.0","0.0","0.6875","0.0","0.0","13.0","0.0","0.0","0.8125","1.0","14.0","14.0","0.0625","0.875"
"19","2.0","5.0","10.0","0.125","0.3125","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","11.0","0.0","0.0","0.6875","0.0","0.0","13.0","0.0","0.0","0.8125","1.0","14.0","14.0","0.0625","0.875"
"20","2.0","5.0","10.0","0.125","0.3125","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","11.0","0.0","0.0","0.6875","0.0","0.0","13.0","0.0","0.0","0.8125","1.0","14.0","14.0","0.0625","0.875"
"21","2.0","5.0","10.0","0.125","0.3125","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","11.0","0.0","0.0","0.6875","0.0","0.0","13.0","0.0","0.0","0.8125","1.0","14.0","14.0","0.0625","0.875"
