"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS"
"11","4.0","1.0","4.0","0.4","0.1","1.0","2.0","2.0","0.1","0.2","1.0","2.0","2.0","0.1","0.2","1.0","1.0","1.0","0.1","0.1","0.0","2.0","0.0","0.0","0.2","4.0","1.0","4.0","0.4","0.1","5.0","1.0","5.0","0.5","0.1","0.0","7.0","0.0","0.0","0.7","1.0","1.0","1.0","0.1","0.1","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","4.0","1.0","4.0","0.4","0.1","1.0","2.0","2.0","0.1","0.2","1.0","2.0","2.0","0.1","0.2","1.0","1.0","1.0","0.1","0.1","0.0","2.0","0.0","0.0","0.2","4.0","1.0","4.0","0.4","0.1","5.0","1.0","5.0","0.5","0.1","0.0","7.0","0.0","0.0","0.7","1.0","1.0","1.0","0.1","0.1","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","4.0","1.0","4.0","0.4","0.1","1.0","2.0","2.0","0.1","0.2","1.0","2.0","2.0","0.1","0.2","1.0","1.0","1.0","0.1","0.1","0.0","2.0","0.0","0.0","0.2","4.0","1.0","4.0","0.4","0.1","5.0","1.0","5.0","0.5","0.1","0.0","7.0","0.0","0.0","0.7","1.0","1.0","1.0","0.1","0.1","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","4.0","1.0","4.0","0.4","0.1","1.0","2.0","2.0","0.1","0.2","1.0","2.0","2.0","0.1","0.2","1.0","1.0","1.0","0.1","0.1","0.0","2.0","0.0","0.0","0.2","4.0","1.0","4.0","0.4","0.1","5.0","1.0","5.0","0.5","0.1","0.0","7.0","0.0","0.0","0.7","1.0","1.0","1.0","0.1","0.1","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","4.0","1.0","4.0","0.4","0.1","1.0","2.0","2.0","0.1","0.2","1.0","2.0","2.0","0.1","0.2","1.0","1.0","1.0","0.1","0.1","0.0","2.0","0.0","0.0","0.2","4.0","1.0","4.0","0.4","0.1","5.0","1.0","5.0","0.5","0.1","0.0","7.0","0.0","0.0","0.7","1.0","1.0","1.0","0.1","0.1","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","0.0","2.0","0.0","0.0","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","6.0","1.0","6.0","0.5454545454545454","0.09090909090909091","0.0","8.0","0.0","0.0","0.7272727272727273","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","0.0","2.0","0.0","0.0","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","6.0","1.0","6.0","0.5454545454545454","0.09090909090909091","0.0","8.0","0.0","0.0","0.7272727272727273","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","0.0","2.0","0.0","0.0","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","6.0","1.0","6.0","0.5454545454545454","0.09090909090909091","0.0","8.0","0.0","0.0","0.7272727272727273","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","0.0","2.0","0.0","0.0","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","6.0","1.0","6.0","0.5454545454545454","0.09090909090909091","0.0","8.0","0.0","0.0","0.7272727272727273","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","0.0","2.0","0.0","0.0","0.15384615384615385","4.0","2.0","8.0","0.3076923076923077","0.15384615384615385","7.0","1.0","7.0","0.5384615384615384","0.07692307692307693","0.0","10.0","0.0","0.0","0.7692307692307693","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","0.0","0.0","0.0","0.0","0.0"
"21","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","1.0","2.0","2.0","0.07142857142857142","0.14285714285714285","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","0.0","2.0","0.0","0.0","0.14285714285714285","4.0","2.0","8.0","0.2857142857142857","0.14285714285714285","7.0","1.0","7.0","0.5","0.07142857142857142","0.0","11.0","0.0","0.0","0.7857142857142857","1.0","2.0","2.0","0.07142857142857142","0.14285714285714285","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142"
