"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS"
"11","0.0","3.0","0.0","0.0","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","2.0","3.0","6.0","0.16666666666666666","0.25","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","8.0","7.0","56.0","0.6666666666666666","0.5833333333333334","0.0","5.0","0.0","0.0","0.4166666666666667"
"12","0.0","3.0","0.0","0.0","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","2.0","3.0","6.0","0.16666666666666666","0.25","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","8.0","7.0","56.0","0.6666666666666666","0.5833333333333334","0.0","5.0","0.0","0.0","0.4166666666666667"
"13","0.0","3.0","0.0","0.0","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","2.0","3.0","6.0","0.16666666666666666","0.25","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","8.0","7.0","56.0","0.6666666666666666","0.5833333333333334","0.0","5.0","0.0","0.0","0.4166666666666667"
"14","0.0","3.0","0.0","0.0","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","2.0","3.0","6.0","0.16666666666666666","0.25","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","8.0","7.0","56.0","0.6666666666666666","0.5833333333333334","0.0","5.0","0.0","0.0","0.4166666666666667"
"15","0.0","3.0","0.0","0.0","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","2.0","3.0","6.0","0.16666666666666666","0.25","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","8.0","7.0","56.0","0.6666666666666666","0.5833333333333334","0.0","5.0","0.0","0.0","0.4166666666666667"
"16","0.0","3.0","0.0","0.0","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","2.0","3.0","6.0","0.16666666666666666","0.25","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","8.0","7.0","56.0","0.6666666666666666","0.5833333333333334","0.0","5.0","0.0","0.0","0.4166666666666667"
"17","0.0","3.0","0.0","0.0","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","2.0","3.0","6.0","0.16666666666666666","0.25","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","8.0","7.0","56.0","0.6666666666666666","0.5833333333333334","0.0","5.0","0.0","0.0","0.4166666666666667"
"18","0.0","3.0","0.0","0.0","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","2.0","3.0","6.0","0.16666666666666666","0.25","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","8.0","7.0","56.0","0.6666666666666666","0.5833333333333334","0.0","5.0","0.0","0.0","0.4166666666666667"
"19","0.0","3.0","0.0","0.0","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","2.0","3.0","6.0","0.16666666666666666","0.25","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","8.0","7.0","56.0","0.6666666666666666","0.5833333333333334","0.0","5.0","0.0","0.0","0.4166666666666667"
"20","0.0","3.0","0.0","0.0","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","2.0","3.0","6.0","0.16666666666666666","0.25","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","8.0","7.0","56.0","0.6666666666666666","0.5833333333333334","0.0","5.0","0.0","0.0","0.4166666666666667"
"21","0.0","3.0","0.0","0.0","0.25","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","2.0","3.0","6.0","0.16666666666666666","0.25","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","8.0","7.0","56.0","0.6666666666666666","0.5833333333333334","0.0","5.0","0.0","0.0","0.4166666666666667"
