"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","CPS2-ADS","CPS2-AIS","CPS2-ACS","CPS2-RCS","CPS2-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS"
"11","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","13.0","1.0","13.0","0.5909090909090909","0.045454545454545456","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","4.0","2.0","8.0","0.18181818181818182","0.09090909090909091","6.0","1.0","6.0","0.2727272727272727","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","7.0","0.0","0.0","0.3181818181818182","0.0","1.0","10.0","10.0","0.045454545454545456","0.45454545454545453","9.0","9.0","81.0","0.4090909090909091","0.4090909090909091","1.0","8.0","8.0","0.045454545454545456","0.36363636363636365","1.0","18.0","18.0","0.045454545454545456","0.8181818181818182","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","13.0","1.0","13.0","0.5652173913043478","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","6.0","1.0","6.0","0.2608695652173913","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","7.0","0.0","0.0","0.30434782608695654","0.0","1.0","11.0","11.0","0.043478260869565216","0.4782608695652174","9.0","9.0","81.0","0.391304347826087","0.391304347826087","1.0","9.0","9.0","0.043478260869565216","0.391304347826087","1.0","19.0","19.0","0.043478260869565216","0.8260869565217391","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","13.0","1.0","13.0","0.5416666666666666","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","3.0","9.0","0.125","0.125","3.0","2.0","6.0","0.125","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","3.0","9.0","0.125","0.125","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","6.0","1.0","6.0","0.25","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","8.0","0.0","0.0","0.3333333333333333","0.0","1.0","12.0","12.0","0.041666666666666664","0.5","9.0","9.0","81.0","0.375","0.375","1.0","9.0","9.0","0.041666666666666664","0.375","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","2.0","2.0","4.0","0.08","0.08","13.0","1.0","13.0","0.52","0.04","2.0","2.0","4.0","0.08","0.08","3.0","3.0","9.0","0.12","0.12","3.0","2.0","6.0","0.12","0.08","3.0","2.0","6.0","0.12","0.08","3.0","1.0","3.0","0.12","0.04","3.0","2.0","6.0","0.12","0.08","3.0","3.0","9.0","0.12","0.12","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","4.0","2.0","8.0","0.16","0.08","6.0","1.0","6.0","0.24","0.04","2.0","1.0","2.0","0.08","0.04","8.0","0.0","0.0","0.32","0.0","1.0","13.0","13.0","0.04","0.52","9.0","9.0","81.0","0.36","0.36","1.0","9.0","9.0","0.04","0.36","1.0","20.0","20.0","0.04","0.8","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","1.0","1.0","1.0","0.04","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","2.0","2.0","4.0","0.08","0.08","13.0","1.0","13.0","0.52","0.04","2.0","2.0","4.0","0.08","0.08","3.0","3.0","9.0","0.12","0.12","3.0","2.0","6.0","0.12","0.08","3.0","2.0","6.0","0.12","0.08","3.0","1.0","3.0","0.12","0.04","3.0","2.0","6.0","0.12","0.08","3.0","3.0","9.0","0.12","0.12","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","4.0","2.0","8.0","0.16","0.08","6.0","1.0","6.0","0.24","0.04","2.0","1.0","2.0","0.08","0.04","8.0","0.0","0.0","0.32","0.0","1.0","13.0","13.0","0.04","0.52","9.0","9.0","81.0","0.36","0.36","1.0","9.0","9.0","0.04","0.36","1.0","20.0","20.0","0.04","0.8","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","1.0","1.0","1.0","0.04","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","13.0","1.0","13.0","0.5","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","4.0","2.0","8.0","0.15384615384615385","0.07692307692307693","6.0","1.0","6.0","0.23076923076923078","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","9.0","0.0","0.0","0.34615384615384615","0.0","1.0","14.0","14.0","0.038461538461538464","0.5384615384615384","9.0","9.0","81.0","0.34615384615384615","0.34615384615384615","1.0","9.0","9.0","0.038461538461538464","0.34615384615384615","1.0","20.0","20.0","0.038461538461538464","0.7692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","13.0","1.0","13.0","0.5","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","4.0","2.0","8.0","0.15384615384615385","0.07692307692307693","6.0","1.0","6.0","0.23076923076923078","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","9.0","0.0","0.0","0.34615384615384615","0.0","1.0","14.0","14.0","0.038461538461538464","0.5384615384615384","9.0","9.0","81.0","0.34615384615384615","0.34615384615384615","1.0","9.0","9.0","0.038461538461538464","0.34615384615384615","1.0","20.0","20.0","0.038461538461538464","0.7692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","13.0","1.0","13.0","0.5","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","4.0","2.0","8.0","0.15384615384615385","0.07692307692307693","6.0","1.0","6.0","0.23076923076923078","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","9.0","0.0","0.0","0.34615384615384615","0.0","1.0","14.0","14.0","0.038461538461538464","0.5384615384615384","9.0","9.0","81.0","0.34615384615384615","0.34615384615384615","1.0","9.0","9.0","0.038461538461538464","0.34615384615384615","1.0","20.0","20.0","0.038461538461538464","0.7692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","13.0","1.0","13.0","0.5","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","4.0","2.0","8.0","0.15384615384615385","0.07692307692307693","6.0","1.0","6.0","0.23076923076923078","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","9.0","0.0","0.0","0.34615384615384615","0.0","1.0","14.0","14.0","0.038461538461538464","0.5384615384615384","9.0","9.0","81.0","0.34615384615384615","0.34615384615384615","1.0","9.0","9.0","0.038461538461538464","0.34615384615384615","1.0","20.0","20.0","0.038461538461538464","0.7692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","13.0","1.0","13.0","0.5","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","4.0","2.0","8.0","0.15384615384615385","0.07692307692307693","6.0","1.0","6.0","0.23076923076923078","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","9.0","0.0","0.0","0.34615384615384615","0.0","1.0","14.0","14.0","0.038461538461538464","0.5384615384615384","9.0","9.0","81.0","0.34615384615384615","0.34615384615384615","1.0","9.0","9.0","0.038461538461538464","0.34615384615384615","1.0","20.0","20.0","0.038461538461538464","0.7692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","13.0","1.0","13.0","0.4482758620689655","0.034482758620689655","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","4.0","2.0","8.0","0.13793103448275862","0.06896551724137931","7.0","1.0","7.0","0.2413793103448276","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","9.0","0.0","0.0","0.3103448275862069","0.0","1.0","17.0","17.0","0.034482758620689655","0.5862068965517241","10.0","9.0","90.0","0.3448275862068966","0.3103448275862069","1.0","11.0","11.0","0.034482758620689655","0.3793103448275862","1.0","21.0","21.0","0.034482758620689655","0.7241379310344828","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655"
