"release","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS"
"11","4.0","4.0","16.0","0.3333333333333333","0.3333333333333333","4.0","0.0","0.0","0.3333333333333333","0.0","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","6.0","0.0","0.0","0.5","0.0","1.0","7.0","7.0","0.08333333333333333","0.5833333333333334","2.0","3.0","6.0","0.16666666666666666","0.25","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","3.0","4.0","12.0","0.25","0.3333333333333333","4.0","0.0","0.0","0.3333333333333333","0.0","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","6.0","0.0","0.0","0.5","0.0","1.0","7.0","7.0","0.08333333333333333","0.5833333333333334","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","3.0","4.0","12.0","0.25","0.3333333333333333","4.0","0.0","0.0","0.3333333333333333","0.0","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","6.0","0.0","0.0","0.5","0.0","1.0","7.0","7.0","0.08333333333333333","0.5833333333333334","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","3.0","4.0","12.0","0.25","0.3333333333333333","4.0","0.0","0.0","0.3333333333333333","0.0","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","6.0","0.0","0.0","0.5","0.0","1.0","7.0","7.0","0.08333333333333333","0.5833333333333334","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","3.0","4.0","12.0","0.25","0.3333333333333333","4.0","0.0","0.0","0.3333333333333333","0.0","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","6.0","0.0","0.0","0.5","0.0","1.0","7.0","7.0","0.08333333333333333","0.5833333333333334","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","3.0","4.0","12.0","0.25","0.3333333333333333","4.0","0.0","0.0","0.3333333333333333","0.0","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","6.0","0.0","0.0","0.5","0.0","1.0","7.0","7.0","0.08333333333333333","0.5833333333333334","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","3.0","4.0","12.0","0.23076923076923078","0.3076923076923077","4.0","0.0","0.0","0.3076923076923077","0.0","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","7.0","0.0","0.0","0.5384615384615384","0.0","1.0","8.0","8.0","0.07692307692307693","0.6153846153846154","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","0.0","0.0","0.0","0.0","0.0"
"18","3.0","4.0","12.0","0.23076923076923078","0.3076923076923077","4.0","0.0","0.0","0.3076923076923077","0.0","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","7.0","0.0","0.0","0.5384615384615384","0.0","1.0","8.0","8.0","0.07692307692307693","0.6153846153846154","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","0.0","0.0","0.0","0.0","0.0"
"19","3.0","4.0","12.0","0.23076923076923078","0.3076923076923077","4.0","0.0","0.0","0.3076923076923077","0.0","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","7.0","0.0","0.0","0.5384615384615384","0.0","1.0","8.0","8.0","0.07692307692307693","0.6153846153846154","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","0.0","0.0","0.0","0.0","0.0"
"20","3.0","4.0","12.0","0.23076923076923078","0.3076923076923077","4.0","0.0","0.0","0.3076923076923077","0.0","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","7.0","0.0","0.0","0.5384615384615384","0.0","1.0","8.0","8.0","0.07692307692307693","0.6153846153846154","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","0.0","0.0","0.0","0.0","0.0"
"21","3.0","4.0","12.0","0.21428571428571427","0.2857142857142857","4.0","0.0","0.0","0.2857142857142857","0.0","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","8.0","0.0","0.0","0.5714285714285714","0.0","1.0","9.0","9.0","0.07142857142857142","0.6428571428571429","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","1.0","11.0","11.0","0.07142857142857142","0.7857142857142857","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142"
