"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS"
"11","1.0","2.0","2.0","0.1","0.2","1.0","2.0","2.0","0.1","0.2","5.0","1.0","5.0","0.5","0.1","2.0","2.0","4.0","0.2","0.2","2.0","1.0","2.0","0.2","0.1","3.0","0.0","0.0","0.3","0.0","1.0","5.0","5.0","0.1","0.5","3.0","2.0","6.0","0.3","0.2","0.0","4.0","0.0","0.0","0.4","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","4.0","0.0","0.0","0.36363636363636365","0.0","1.0","6.0","6.0","0.09090909090909091","0.5454545454545454","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","0.0","4.0","0.0","0.0","0.36363636363636365","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","4.0","0.0","0.0","0.36363636363636365","0.0","1.0","6.0","6.0","0.09090909090909091","0.5454545454545454","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","0.0","4.0","0.0","0.0","0.36363636363636365","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","4.0","0.0","0.0","0.36363636363636365","0.0","1.0","6.0","6.0","0.09090909090909091","0.5454545454545454","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","0.0","4.0","0.0","0.0","0.36363636363636365","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","4.0","0.0","0.0","0.36363636363636365","0.0","1.0","6.0","6.0","0.09090909090909091","0.5454545454545454","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","0.0","4.0","0.0","0.0","0.36363636363636365","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","4.0","0.0","0.0","0.36363636363636365","0.0","1.0","6.0","6.0","0.09090909090909091","0.5454545454545454","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","0.0","4.0","0.0","0.0","0.36363636363636365","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","4.0","0.0","0.0","0.3333333333333333","0.0","1.0","7.0","7.0","0.08333333333333333","0.5833333333333334","3.0","2.0","6.0","0.25","0.16666666666666666","0.0","5.0","0.0","0.0","0.4166666666666667","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0"
"18","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","4.0","0.0","0.0","0.3333333333333333","0.0","1.0","7.0","7.0","0.08333333333333333","0.5833333333333334","3.0","2.0","6.0","0.25","0.16666666666666666","0.0","5.0","0.0","0.0","0.4166666666666667","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0"
"19","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","4.0","0.0","0.0","0.3333333333333333","0.0","1.0","7.0","7.0","0.08333333333333333","0.5833333333333334","3.0","2.0","6.0","0.25","0.16666666666666666","0.0","5.0","0.0","0.0","0.4166666666666667","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0"
"20","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","4.0","0.0","0.0","0.3333333333333333","0.0","1.0","7.0","7.0","0.08333333333333333","0.5833333333333334","3.0","2.0","6.0","0.25","0.16666666666666666","0.0","5.0","0.0","0.0","0.4166666666666667","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0"
"21","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","5.0","1.0","5.0","0.38461538461538464","0.07692307692307693","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","5.0","0.0","0.0","0.38461538461538464","0.0","1.0","8.0","8.0","0.07692307692307693","0.6153846153846154","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","0.0","5.0","0.0","0.0","0.38461538461538464","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693"
