"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.1558442","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02566845","4.0","0","3.0","0","0.0","0","6.0","0.03463203","2.0","0","4.0","0"
"11","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.15","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02419355","4.0","0","3.0","0","0.0","0","6.0","0.03260870","2.0","0","4.0","0"
"12","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.1442308","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02284844","4.0","0","3.0","0","0.0","0","6.0","0.03076923","2.0","0","4.0","0"
"13","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.1386555","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02162516","4.0","0","3.0","0","0.0","0","6.0","0.02910053","2.0","0","4.0","0"
"14","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.1333333","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02051282","4.0","0","3.0","0","0.0","0","6.0","0.02758621","2.0","0","4.0","0"
"15","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.1282895","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.0195","4.0","0","3.0","0","0.0","0","6.0","0.02620968","2.0","0","4.0","0"
"16","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.1235294","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.01857585","4.0","0","3.0","0","0.0","0","6.0","0.02495544","2.0","0","4.0","0"
"17","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.1190476","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.01773050","4.0","0","3.0","0","0.0","0","6.0","0.02380952","2.0","0","4.0","0"
"18","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.1148325","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.01695514","4.0","0","3.0","0","0.0","0","6.0","0.02275960","2.0","0","4.0","0"
"19","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.1108696","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.01624204","4.0","0","3.0","0","0.0","0","6.0","0.02179487","2.0","0","4.0","0"
"20","0.2465438","0.5460829","0.17032967032967034","2.2142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.1071429","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.01558442","4.0","0","3.0","0","0.0","0","6.0","0.02090592","2.0","0","4.0","0"
