"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"10","0.3065476","0.6240079","0.15217391304347827","3.5","3.0","0","3.0","0.06060606","4.0","0.1818182","6.0","0.02948403","3.0","0","2.0","0.05278592","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.1558442","2.0","0","1.0","0.1604278","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1604278","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1148325","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0.08181818","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","21.0","0.009128946","1.0","0","10.0","0","1.0","0","22.0","0.008727273"
"11","0.3065476","0.6240079","0.15217391304347827","3.5","3.0","0","3.0","0.05769231","4.0","0.2033333","6.0","0.03333333","3.0","0","2.0","0.06818182","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.15","2.0","0","1.0","0.1666667","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1666667","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1333333","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1071429","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","21.0","0.01025641","1.0","0","10.0","0","1.0","0","22.0","0.009803922"
"12","0.3065476","0.6240079","0.15217391304347827","3.5","3.0","0","3.0","0.05494505","4.0","0.2189349","6.0","0.03577818","3.0","0","2.0","0.07912088","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.1442308","2.0","0","1.0","0.1700405","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1700405","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1465201","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1258741","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","21.0","0.01094990","1.0","0","10.0","0","1.0","0","22.0","0.01046572"
"13","0.3065476","0.6240079","0.15217391304347827","3.5","3.0","0","3.0","0.05238095","4.0","0.2301587","6.0","0.03726708","3.0","0","2.0","0.08687259","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.1386555","2.0","0","1.0","0.1714286","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1714286","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1558442","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1397516","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","21.0","0.01135289","1.0","0","10.0","0","1.0","0","22.0","0.01084991"
"14","0.3065476","0.6240079","0.15217391304347827","3.5","3.0","0","3.0","0.05","4.0","0.2380952","6.0","0.03809524","3.0","0","2.0","0.09230769","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.1333333","2.0","0","1.0","0.1714286","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1714286","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1623188","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0.15","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","21.0","0.01155831","1.0","0","10.0","0","1.0","0","22.0","0.01104536"
"15","0.3065476","0.6240079","0.15217391304347827","3.5","3.0","0","3.0","0.04779412","4.0","0.2435345","6.0","0.03846154","3.0","0","2.0","0.09603659","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.1282895","2.0","0","1.0","0.1704545","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1704545","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1666667","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1575","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","21.0","0.01162791","1.0","0","10.0","0","1.0","0","22.0","0.01111111"
"16","0.3065476","0.6240079","0.15217391304347827","3.5","3.0","0","3.0","0.04575163","4.0","0.2470588","6.0","0.03850267","3.0","0","2.0","0.09849521","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.1235294","2.0","0","1.0","0.1687980","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1687980","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1694118","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1628959","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","21.0","0.01160355","1.0","0","10.0","0","1.0","0","22.0","0.01108716"
"17","0.3065476","0.6240079","0.15217391304347827","3.5","3.0","0","3.0","0.04385965","4.0","0.2491039","6.0","0.03831418","3.0","0","2.0","0.1","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.1190476","2.0","0","1.0","0.1666667","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1666667","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1709402","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1666667","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","21.0","0.01151410","1.0","0","10.0","0","1.0","0","22.0","0.01100110"
"18","0.3065476","0.6240079","0.15217391304347827","3.5","3.0","0","3.0","0.04210526","4.0","0.25","6.0","0.03796376","3.0","0","2.0","0.1007839","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.1148325","2.0","0","1.0","0.1642105","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1642105","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1715400","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1691729","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","21.0","0.01137980","1.0","0","10.0","0","1.0","0","22.0","0.01087225"
"19","0.3065476","0.6240079","0.15217391304347827","3.5","3.0","0","3.0","0.04047619","4.0","0.25","6.0","0.0375","3.0","0","2.0","0.1010204","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.1108696","2.0","0","1.0","0.1615385","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1615385","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1714286","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1706897","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","21.0","0.01121495","1.0","0","10.0","0","1.0","0","22.0","0.01071429"
"20","0.3065476","0.6240079","0.15217391304347827","3.5","3.0","0","3.0","0.03896104","4.0","0.2492997","6.0","0.03695807","3.0","0","2.0","0.1008403","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","1.0","0.1071429","2.0","0","1.0","0.1587302","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1587302","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1707718","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0.1714286","4.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","21.0","0.01102980","1.0","0","10.0","0","1.0","0","22.0","0.01053698"
