"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"11","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","1.0","5.0","5.0","0.05263157894736842","0.2631578947368421","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","4.0","0.0","0.0","0.21052631578947367","0.0","1.0","8.0","8.0","0.05263157894736842","0.42105263157894735","9.0","8.0","72.0","0.47368421052631576","0.42105263157894735","0.0","8.0","0.0","0.0","0.42105263157894735","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421"
"12","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","1.0","5.0","5.0","0.05263157894736842","0.2631578947368421","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","4.0","0.0","0.0","0.21052631578947367","0.0","1.0","8.0","8.0","0.05263157894736842","0.42105263157894735","9.0","8.0","72.0","0.47368421052631576","0.42105263157894735","0.0","8.0","0.0","0.0","0.42105263157894735","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421"
"13","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","1.0","5.0","5.0","0.05263157894736842","0.2631578947368421","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","4.0","0.0","0.0","0.21052631578947367","0.0","1.0","8.0","8.0","0.05263157894736842","0.42105263157894735","9.0","8.0","72.0","0.47368421052631576","0.42105263157894735","0.0","8.0","0.0","0.0","0.42105263157894735","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421"
"14","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","1.0","5.0","5.0","0.05263157894736842","0.2631578947368421","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","4.0","0.0","0.0","0.21052631578947367","0.0","1.0","8.0","8.0","0.05263157894736842","0.42105263157894735","9.0","8.0","72.0","0.47368421052631576","0.42105263157894735","0.0","8.0","0.0","0.0","0.42105263157894735","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421"
"15","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","1.0","5.0","5.0","0.05263157894736842","0.2631578947368421","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","4.0","0.0","0.0","0.21052631578947367","0.0","1.0","8.0","8.0","0.05263157894736842","0.42105263157894735","9.0","8.0","72.0","0.47368421052631576","0.42105263157894735","0.0","8.0","0.0","0.0","0.42105263157894735","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421"
"16","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","1.0","5.0","5.0","0.05263157894736842","0.2631578947368421","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","4.0","0.0","0.0","0.21052631578947367","0.0","1.0","8.0","8.0","0.05263157894736842","0.42105263157894735","9.0","8.0","72.0","0.47368421052631576","0.42105263157894735","0.0","8.0","0.0","0.0","0.42105263157894735","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421"
"17","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","1.0","5.0","5.0","0.05263157894736842","0.2631578947368421","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","4.0","0.0","0.0","0.21052631578947367","0.0","1.0","8.0","8.0","0.05263157894736842","0.42105263157894735","9.0","8.0","72.0","0.47368421052631576","0.42105263157894735","0.0","8.0","0.0","0.0","0.42105263157894735","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421"
"18","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","1.0","5.0","5.0","0.05263157894736842","0.2631578947368421","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","4.0","0.0","0.0","0.21052631578947367","0.0","1.0","8.0","8.0","0.05263157894736842","0.42105263157894735","9.0","8.0","72.0","0.47368421052631576","0.42105263157894735","0.0","8.0","0.0","0.0","0.42105263157894735","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421"
"19","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","1.0","5.0","5.0","0.05263157894736842","0.2631578947368421","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","4.0","0.0","0.0","0.21052631578947367","0.0","1.0","8.0","8.0","0.05263157894736842","0.42105263157894735","9.0","8.0","72.0","0.47368421052631576","0.42105263157894735","0.0","8.0","0.0","0.0","0.42105263157894735","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421"
"20","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","1.0","5.0","5.0","0.05263157894736842","0.2631578947368421","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","4.0","0.0","0.0","0.21052631578947367","0.0","1.0","8.0","8.0","0.05263157894736842","0.42105263157894735","9.0","8.0","72.0","0.47368421052631576","0.42105263157894735","0.0","8.0","0.0","0.0","0.42105263157894735","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421"
"21","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","1.0","5.0","5.0","0.05263157894736842","0.2631578947368421","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","4.0","0.0","0.0","0.21052631578947367","0.0","1.0","8.0","8.0","0.05263157894736842","0.42105263157894735","9.0","8.0","72.0","0.47368421052631576","0.42105263157894735","0.0","8.0","0.0","0.0","0.42105263157894735","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421"
