"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS"
"11","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","3.0","9.0","0.21428571428571427","0.21428571428571427","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","7.0","1.0","7.0","0.5","0.07142857142857142","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","5.0","0.0","0.0","0.35714285714285715","0.0","1.0","8.0","8.0","0.07142857142857142","0.5714285714285714","2.0","3.0","6.0","0.14285714285714285","0.21428571428571427","1.0","5.0","5.0","0.07142857142857142","0.35714285714285715","1.0","9.0","9.0","0.07142857142857142","0.6428571428571429","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","3.0","9.0","0.2","0.2","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","8.0","1.0","8.0","0.5333333333333333","0.06666666666666667","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","1.0","9.0","9.0","0.06666666666666667","0.6","2.0","3.0","6.0","0.13333333333333333","0.2","1.0","5.0","5.0","0.06666666666666667","0.3333333333333333","1.0","9.0","9.0","0.06666666666666667","0.6","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","3.0","9.0","0.2","0.2","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","8.0","1.0","8.0","0.5333333333333333","0.06666666666666667","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","1.0","9.0","9.0","0.06666666666666667","0.6","2.0","3.0","6.0","0.13333333333333333","0.2","1.0","5.0","5.0","0.06666666666666667","0.3333333333333333","1.0","9.0","9.0","0.06666666666666667","0.6","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","3.0","9.0","0.2","0.2","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","8.0","1.0","8.0","0.5333333333333333","0.06666666666666667","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","1.0","9.0","9.0","0.06666666666666667","0.6","2.0","3.0","6.0","0.13333333333333333","0.2","1.0","5.0","5.0","0.06666666666666667","0.3333333333333333","1.0","9.0","9.0","0.06666666666666667","0.6","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","3.0","9.0","0.2","0.2","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","8.0","1.0","8.0","0.5333333333333333","0.06666666666666667","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","1.0","9.0","9.0","0.06666666666666667","0.6","2.0","3.0","6.0","0.13333333333333333","0.2","1.0","5.0","5.0","0.06666666666666667","0.3333333333333333","1.0","9.0","9.0","0.06666666666666667","0.6","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","3.0","9.0","0.2","0.2","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","8.0","1.0","8.0","0.5333333333333333","0.06666666666666667","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","1.0","9.0","9.0","0.06666666666666667","0.6","2.0","3.0","6.0","0.13333333333333333","0.2","1.0","5.0","5.0","0.06666666666666667","0.3333333333333333","1.0","9.0","9.0","0.06666666666666667","0.6","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","2.0","1.0","2.0","0.125","0.0625","3.0","3.0","9.0","0.1875","0.1875","2.0","1.0","2.0","0.125","0.0625","9.0","1.0","9.0","0.5625","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","5.0","0.0","0.0","0.3125","0.0","1.0","10.0","10.0","0.0625","0.625","2.0","3.0","6.0","0.125","0.1875","1.0","5.0","5.0","0.0625","0.3125","1.0","9.0","9.0","0.0625","0.5625","1.0","1.0","1.0","0.0625","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","1.0","1.0","1.0","0.0625","0.0625","1.0","1.0","1.0","0.0625","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","3.0","9.0","0.17647058823529413","0.17647058823529413","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","10.0","1.0","10.0","0.5882352941176471","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","5.0","0.0","0.0","0.29411764705882354","0.0","1.0","11.0","11.0","0.058823529411764705","0.6470588235294118","2.0","3.0","6.0","0.11764705882352941","0.17647058823529413","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","1.0","9.0","9.0","0.058823529411764705","0.5294117647058824","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","3.0","9.0","0.17647058823529413","0.17647058823529413","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","10.0","1.0","10.0","0.5882352941176471","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","5.0","0.0","0.0","0.29411764705882354","0.0","1.0","11.0","11.0","0.058823529411764705","0.6470588235294118","2.0","3.0","6.0","0.11764705882352941","0.17647058823529413","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","1.0","9.0","9.0","0.058823529411764705","0.5294117647058824","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","3.0","9.0","0.17647058823529413","0.17647058823529413","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","10.0","1.0","10.0","0.5882352941176471","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","5.0","0.0","0.0","0.29411764705882354","0.0","1.0","11.0","11.0","0.058823529411764705","0.6470588235294118","2.0","3.0","6.0","0.11764705882352941","0.17647058823529413","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","1.0","9.0","9.0","0.058823529411764705","0.5294117647058824","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","3.0","9.0","0.15789473684210525","0.15789473684210525","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","12.0","1.0","12.0","0.631578947368421","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","5.0","0.0","0.0","0.2631578947368421","0.0","1.0","13.0","13.0","0.05263157894736842","0.6842105263157895","2.0","3.0","6.0","0.10526315789473684","0.15789473684210525","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","1.0","9.0","9.0","0.05263157894736842","0.47368421052631576","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842"
