"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","RD18-ADS","RD18-GINI -ADS","RD18-AIS","RD18-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2476596","0.6314894","0.15666666666666668","3.76","4.0","0","2.0","0","8.0","0","1.0","0","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","5.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","1.0","0","3.0","0","8.0","0.1558442","7.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","22.0","0.009128946","1.0","0","10.0","0.02039082","1.0","0","22.0","0","2.0","0","8.0","0"
"11","0.2476596","0.6314894","0.15666666666666668","3.76","4.0","0","2.0","0","8.0","0","1.0","0","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","5.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","1.0","0","3.0","0","8.0","0.15","7.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","22.0","0.008620690","1.0","0","10.0","0.01923077","1.0","0","22.0","0","2.0","0","8.0","0"
"12","0.2476596","0.6314894","0.15666666666666668","3.76","4.0","0","2.0","0","8.0","0","1.0","0","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","5.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","1.0","0","3.0","0","8.0","0.1442308","7.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","22.0","0.008154390","1.0","0","10.0","0.01817081","1.0","0","22.0","0","2.0","0","8.0","0"
"13","0.2476596","0.6314894","0.15666666666666668","3.76","4.0","0","2.0","0","8.0","0","1.0","0","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","5.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","1.0","0","3.0","0","8.0","0.1386555","7.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","22.0","0.007728337","1.0","0","10.0","0.01720542","1.0","0","22.0","0","2.0","0","8.0","0"
"14","0.2476596","0.6314894","0.15666666666666668","3.76","4.0","0","2.0","0","8.0","0","1.0","0","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","5.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","1.0","0","3.0","0","8.0","0.1333333","7.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","22.0","0.007339450","1.0","0","10.0","0.01632653","1.0","0","22.0","0","2.0","0","8.0","0"
"15","0.2476596","0.6314894","0.15666666666666668","3.76","4.0","0","2.0","0","8.0","0","1.0","0","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","5.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","1.0","0","3.0","0","8.0","0.1282895","7.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","22.0","0.006984241","1.0","0","10.0","0.01552548","1.0","0","22.0","0","2.0","0","8.0","0"
"16","0.2476596","0.6314894","0.15666666666666668","3.76","4.0","0","2.0","0","8.0","0","1.0","0","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","5.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","1.0","0","3.0","0","8.0","0.1235294","7.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","22.0","0.006659267","1.0","0","10.0","0.01479394","1.0","0","22.0","0","2.0","0","8.0","0"
"17","0.2476596","0.6314894","0.15666666666666668","3.76","4.0","0","2.0","0","8.0","0","1.0","0","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","5.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","1.0","0","3.0","0","8.0","0.1190476","7.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","22.0","0.006361323","1.0","0","10.0","0.01412429","1.0","0","22.0","0","2.0","0","8.0","0"
"18","0.2476596","0.6314894","0.15666666666666668","3.76","4.0","0","2.0","0","8.0","0","1.0","0","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","5.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","1.0","0","3.0","0","8.0","0.1148325","7.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","22.0","0.006087508","1.0","0","10.0","0.01350971","1.0","0","22.0","0","2.0","0","8.0","0"
"19","0.2476596","0.6314894","0.15666666666666668","3.76","4.0","0","2.0","0","8.0","0","1.0","0","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","5.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","1.0","0","3.0","0","8.0","0.1108696","7.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","22.0","0.005835240","1.0","0","10.0","0.01294416","1.0","0","22.0","0","2.0","0","8.0","0"
"20","0.2476596","0.6314894","0.15666666666666668","3.76","4.0","0","2.0","0","8.0","0","1.0","0","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","5.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","1.0","0","3.0","0","8.0","0.1071429","7.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","22.0","0.005602241","1.0","0","10.0","0.01242236","1.0","0","22.0","0","2.0","0","8.0","0"
