"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS"
"11","4.0","0.0","0.0","0.23529411764705882","0.0","2.0","3.0","6.0","0.11764705882352941","0.17647058823529413","5.0","0.0","0.0","0.29411764705882354","0.0","8.0","1.0","8.0","0.47058823529411764","0.058823529411764705","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","2.0","3.0","6.0","0.11764705882352941","0.17647058823529413","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","7.0","0.0","0.0","0.4117647058823529","0.0","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","1.0","8.0","8.0","0.058823529411764705","0.47058823529411764","1.0","13.0","13.0","0.058823529411764705","0.7647058823529411","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","4.0","0.0","0.0","0.23529411764705882","0.0","2.0","3.0","6.0","0.11764705882352941","0.17647058823529413","5.0","0.0","0.0","0.29411764705882354","0.0","8.0","1.0","8.0","0.47058823529411764","0.058823529411764705","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","2.0","3.0","6.0","0.11764705882352941","0.17647058823529413","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","7.0","0.0","0.0","0.4117647058823529","0.0","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","1.0","8.0","8.0","0.058823529411764705","0.47058823529411764","1.0","13.0","13.0","0.058823529411764705","0.7647058823529411","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","4.0","0.0","0.0","0.23529411764705882","0.0","2.0","3.0","6.0","0.11764705882352941","0.17647058823529413","5.0","0.0","0.0","0.29411764705882354","0.0","8.0","1.0","8.0","0.47058823529411764","0.058823529411764705","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","2.0","3.0","6.0","0.11764705882352941","0.17647058823529413","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","7.0","0.0","0.0","0.4117647058823529","0.0","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","1.0","8.0","8.0","0.058823529411764705","0.47058823529411764","1.0","13.0","13.0","0.058823529411764705","0.7647058823529411","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","4.0","0.0","0.0","0.23529411764705882","0.0","2.0","3.0","6.0","0.11764705882352941","0.17647058823529413","5.0","0.0","0.0","0.29411764705882354","0.0","8.0","1.0","8.0","0.47058823529411764","0.058823529411764705","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","2.0","3.0","6.0","0.11764705882352941","0.17647058823529413","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","7.0","0.0","0.0","0.4117647058823529","0.0","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","1.0","8.0","8.0","0.058823529411764705","0.47058823529411764","1.0","13.0","13.0","0.058823529411764705","0.7647058823529411","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","4.0","0.0","0.0","0.2222222222222222","0.0","2.0","3.0","6.0","0.1111111111111111","0.16666666666666666","5.0","0.0","0.0","0.2777777777777778","0.0","9.0","1.0","9.0","0.5","0.05555555555555555","4.0","2.0","8.0","0.2222222222222222","0.1111111111111111","2.0","2.0","4.0","0.1111111111111111","0.1111111111111111","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","2.0","3.0","6.0","0.1111111111111111","0.16666666666666666","5.0","1.0","5.0","0.2777777777777778","0.05555555555555555","7.0","0.0","0.0","0.3888888888888889","0.0","1.0","16.0","16.0","0.05555555555555555","0.8888888888888888","1.0","9.0","9.0","0.05555555555555555","0.5","1.0","13.0","13.0","0.05555555555555555","0.7222222222222222","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","4.0","0.0","0.0","0.2222222222222222","0.0","2.0","3.0","6.0","0.1111111111111111","0.16666666666666666","5.0","0.0","0.0","0.2777777777777778","0.0","9.0","1.0","9.0","0.5","0.05555555555555555","4.0","2.0","8.0","0.2222222222222222","0.1111111111111111","2.0","2.0","4.0","0.1111111111111111","0.1111111111111111","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","2.0","3.0","6.0","0.1111111111111111","0.16666666666666666","5.0","1.0","5.0","0.2777777777777778","0.05555555555555555","7.0","0.0","0.0","0.3888888888888889","0.0","1.0","16.0","16.0","0.05555555555555555","0.8888888888888888","1.0","9.0","9.0","0.05555555555555555","0.5","1.0","13.0","13.0","0.05555555555555555","0.7222222222222222","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","4.0","0.0","0.0","0.2222222222222222","0.0","2.0","3.0","6.0","0.1111111111111111","0.16666666666666666","5.0","0.0","0.0","0.2777777777777778","0.0","9.0","1.0","9.0","0.5","0.05555555555555555","4.0","2.0","8.0","0.2222222222222222","0.1111111111111111","2.0","2.0","4.0","0.1111111111111111","0.1111111111111111","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","2.0","3.0","6.0","0.1111111111111111","0.16666666666666666","5.0","1.0","5.0","0.2777777777777778","0.05555555555555555","7.0","0.0","0.0","0.3888888888888889","0.0","1.0","16.0","16.0","0.05555555555555555","0.8888888888888888","1.0","9.0","9.0","0.05555555555555555","0.5","1.0","13.0","13.0","0.05555555555555555","0.7222222222222222","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","4.0","0.0","0.0","0.21052631578947367","0.0","2.0","3.0","6.0","0.10526315789473684","0.15789473684210525","5.0","0.0","0.0","0.2631578947368421","0.0","10.0","1.0","10.0","0.5263157894736842","0.05263157894736842","4.0","2.0","8.0","0.21052631578947367","0.10526315789473684","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","3.0","6.0","0.10526315789473684","0.15789473684210525","5.0","1.0","5.0","0.2631578947368421","0.05263157894736842","7.0","0.0","0.0","0.3684210526315789","0.0","1.0","17.0","17.0","0.05263157894736842","0.8947368421052632","1.0","10.0","10.0","0.05263157894736842","0.5263157894736842","1.0","13.0","13.0","0.05263157894736842","0.6842105263157895","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","0.0","0.0","0.0","0.0","0.0"
"19","4.0","0.0","0.0","0.21052631578947367","0.0","2.0","3.0","6.0","0.10526315789473684","0.15789473684210525","5.0","0.0","0.0","0.2631578947368421","0.0","10.0","1.0","10.0","0.5263157894736842","0.05263157894736842","4.0","2.0","8.0","0.21052631578947367","0.10526315789473684","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","3.0","6.0","0.10526315789473684","0.15789473684210525","5.0","1.0","5.0","0.2631578947368421","0.05263157894736842","7.0","0.0","0.0","0.3684210526315789","0.0","1.0","17.0","17.0","0.05263157894736842","0.8947368421052632","1.0","10.0","10.0","0.05263157894736842","0.5263157894736842","1.0","13.0","13.0","0.05263157894736842","0.6842105263157895","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","0.0","0.0","0.0","0.0","0.0"
"20","4.0","0.0","0.0","0.21052631578947367","0.0","2.0","3.0","6.0","0.10526315789473684","0.15789473684210525","5.0","0.0","0.0","0.2631578947368421","0.0","10.0","1.0","10.0","0.5263157894736842","0.05263157894736842","4.0","2.0","8.0","0.21052631578947367","0.10526315789473684","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","3.0","6.0","0.10526315789473684","0.15789473684210525","5.0","1.0","5.0","0.2631578947368421","0.05263157894736842","7.0","0.0","0.0","0.3684210526315789","0.0","1.0","17.0","17.0","0.05263157894736842","0.8947368421052632","1.0","10.0","10.0","0.05263157894736842","0.5263157894736842","1.0","13.0","13.0","0.05263157894736842","0.6842105263157895","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","0.0","0.0","0.0","0.0","0.0"
"21","4.0","0.0","0.0","0.2","0.0","2.0","3.0","6.0","0.1","0.15","5.0","0.0","0.0","0.25","0.0","11.0","1.0","11.0","0.55","0.05","4.0","2.0","8.0","0.2","0.1","2.0","2.0","4.0","0.1","0.1","3.0","1.0","3.0","0.15","0.05","3.0","2.0","6.0","0.15","0.1","3.0","2.0","6.0","0.15","0.1","2.0","3.0","6.0","0.1","0.15","5.0","1.0","5.0","0.25","0.05","7.0","0.0","0.0","0.35","0.0","1.0","18.0","18.0","0.05","0.9","1.0","10.0","10.0","0.05","0.5","1.0","14.0","14.0","0.05","0.7","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05"
