"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.3025641","0.4358974","0.19230769230769232","2.3076923076923075","2.0","0","4.0","0.1363636","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04991087","6.0","0","5.0","0","0.0","0","6.0","0.04105572","2.0","0","3.0","0"
"11","0.3025641","0.4358974","0.19230769230769232","2.3076923076923075","2.0","0","4.0","0.1333333","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04761905","6.0","0","5.0","0","0.0","0","6.0","0.03921569","2.0","0","3.0","0"
"12","0.3025641","0.4358974","0.19230769230769232","2.3076923076923075","2.0","0","4.0","0.1298077","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04539723","6.0","0","5.0","0","0.0","0","6.0","0.03742204","2.0","0","3.0","0"
"13","0.3025641","0.4358974","0.19230769230769232","2.3076923076923075","2.0","0","4.0","0.1260504","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04329004","6.0","0","5.0","0","0.0","0","6.0","0.03571429","2.0","0","3.0","0"
"14","0.3025641","0.4358974","0.19230769230769232","2.3076923076923075","2.0","0","4.0","0.1222222","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04131455","6.0","0","5.0","0","0.0","0","6.0","0.03410853","2.0","0","3.0","0"
"15","0.3025641","0.4358974","0.19230769230769232","2.3076923076923075","2.0","0","4.0","0.1184211","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.03947368","6.0","0","5.0","0","0.0","0","6.0","0.03260870","2.0","0","3.0","0"
"16","0.3025641","0.4358974","0.19230769230769232","2.3076923076923075","2.0","0","4.0","0.1147059","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.03776325","6.0","0","5.0","0","0.0","0","6.0","0.03121248","2.0","0","3.0","0"
"17","0.3025641","0.4358974","0.19230769230769232","2.3076923076923075","2.0","0","4.0","0.1111111","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.03617571","6.0","0","5.0","0","0.0","0","6.0","0.02991453","2.0","0","3.0","0"
"18","0.3025641","0.4358974","0.19230769230769232","2.3076923076923075","2.0","0","4.0","0.1076555","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.03470214","6.0","0","5.0","0","0.0","0","6.0","0.02870813","2.0","0","3.0","0"
"19","0.3025641","0.4358974","0.19230769230769232","2.3076923076923075","2.0","0","4.0","0.1043478","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.03333333","6.0","0","5.0","0","0.0","0","6.0","0.02758621","2.0","0","3.0","0"
"20","0.3025641","0.4358974","0.19230769230769232","2.3076923076923075","2.0","0","4.0","0.1011905","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.03206035","6.0","0","5.0","0","0.0","0","6.0","0.02654176","2.0","0","3.0","0"
