"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2318841","0.6610925","0.1541501976284585","3.391304347826087","3.0","0","6.0","0.1696970","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","20.0","0.01178451","1.0","0","9.0","0","1.0","0","21.0","0.01121346","2.0","0","6.0","0"
"11","0.2318841","0.6610925","0.1541501976284585","3.391304347826087","3.0","0","6.0","0.1666667","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","20.0","0.01129944","1.0","0","9.0","0","1.0","0","21.0","0.01075269","2.0","0","6.0","0"
"12","0.2318841","0.6610925","0.1541501976284585","3.391304347826087","3.0","0","6.0","0.1628959","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","20.0","0.01081731","1.0","0","9.0","0","1.0","0","21.0","0.01029454","2.0","0","6.0","0"
"13","0.2318841","0.6610925","0.1541501976284585","3.391304347826087","3.0","0","6.0","0.1587302","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","20.0","0.01035197","1.0","0","9.0","0","1.0","0","21.0","0.009852217","2.0","0","6.0","0"
"14","0.2318841","0.6610925","0.1541501976284585","3.391304347826087","3.0","0","6.0","0.1543860","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","20.0","0.009909910","1.0","0","9.0","0","1.0","0","21.0","0.009431940","2.0","0","6.0","0"
"15","0.2318841","0.6610925","0.1541501976284585","3.391304347826087","3.0","0","6.0","0.15","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","20.0","0.009493671","1.0","0","9.0","0","1.0","0","21.0","0.009036145","2.0","0","6.0","0"
"16","0.2318841","0.6610925","0.1541501976284585","3.391304347826087","3.0","0","6.0","0.1456583","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","20.0","0.009103641","1.0","0","9.0","0","1.0","0","21.0","0.008665222","2.0","0","6.0","0"
"17","0.2318841","0.6610925","0.1541501976284585","3.391304347826087","3.0","0","6.0","0.1414141","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","20.0","0.008739076","1.0","0","9.0","0","1.0","0","21.0","0.008318479","2.0","0","6.0","0"
"18","0.2318841","0.6610925","0.1541501976284585","3.391304347826087","3.0","0","6.0","0.1372998","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","20.0","0.008398656","1.0","0","9.0","0","1.0","0","21.0","0.007994670","2.0","0","6.0","0"
"19","0.2318841","0.6610925","0.1541501976284585","3.391304347826087","3.0","0","6.0","0.1333333","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","20.0","0.008080808","1.0","0","9.0","0","1.0","0","21.0","0.007692308","2.0","0","6.0","0"
"20","0.2318841","0.6610925","0.1541501976284585","3.391304347826087","3.0","0","6.0","0.1295238","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","11.0","0","0.0","0","1.0","0","20.0","0.007783883","1.0","0","9.0","0","1.0","0","21.0","0.007409829","2.0","0","6.0","0"
