"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","BA21-ADS","BA21-GINI -ADS","BA21-AIS","BA21-GINI -AIS","BA22-ADS","BA22-GINI -ADS","BA22-AIS","BA22-GINI -AIS","BA23-ADS","BA23-GINI -ADS","BA23-AIS","BA23-GINI -AIS","BA24-ADS","BA24-GINI -ADS","BA24-AIS","BA24-GINI -AIS","BA25-ADS","BA25-GINI -ADS","BA25-AIS","BA25-GINI -AIS","BA26-ADS","BA26-GINI -ADS","BA26-AIS","BA26-GINI -AIS","BA27-ADS","BA27-GINI -ADS","BA27-AIS","BA27-GINI -AIS","BA28-ADS","BA28-GINI -ADS","BA28-AIS","BA28-GINI -AIS","BA29-ADS","BA29-GINI -ADS","BA29-AIS","BA29-GINI -AIS","BA30-ADS","BA30-GINI -ADS","BA30-AIS","BA30-GINI -AIS","BA31-ADS","BA31-GINI -ADS","BA31-AIS","BA31-GINI -AIS","BA32-ADS","BA32-GINI -ADS","BA32-AIS","BA32-GINI -AIS","BA33-ADS","BA33-GINI -ADS","BA33-AIS","BA33-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"10","0.3576696","0.6256146","0.08968253968253968","3.138888888888889","6.0","0.1941448","9.0","0","3.0","0","1.0","0.1696970","2.0","0","1.0","0.1696970","3.0","0","2.0","0.09740260","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0.1696970","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1148325","2.0","0","1.0","0","2.0","0","1.0","0.1148325","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1604278","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1604278","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1604278","21.0","0","0.0","0","0.0","0","18.0","0","13.0","0","16.0","0","1.0","0","33.0","0.006935843"
"11","0.3576696","0.6256146","0.08968253968253968","3.138888888888889","6.0","0.2043011","9.0","0","3.0","0","1.0","0.1666667","2.0","0","1.0","0.1666667","3.0","0","2.0","0.1","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1333333","2.0","0","1.0","0","2.0","0","1.0","0.1333333","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1666667","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1666667","21.0","0","0.0","0","0.0","0","18.0","0","13.0","0","16.0","0","1.0","0","33.0","0.006666667"
"12","0.3576696","0.6256146","0.08968253968253968","3.138888888888889","6.0","0.2106509","9.0","0","3.0","0","1.0","0.1628959","2.0","0","1.0","0.1628959","3.0","0","2.0","0.1009615","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0.1628959","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1465201","2.0","0","1.0","0","2.0","0","1.0","0.1465201","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1700405","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1700405","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1700405","21.0","0","0.0","0","0.0","0","18.0","0","13.0","0","16.0","0","1.0","0","33.0","0.006395452"
"13","0.3576696","0.6256146","0.08968253968253968","3.138888888888889","6.0","0.2142857","9.0","0","3.0","0","1.0","0.1587302","2.0","0","1.0","0.1587302","3.0","0","2.0","0.1008403","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0.1587302","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1558442","2.0","0","1.0","0","2.0","0","1.0","0.1558442","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1714286","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1714286","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1714286","21.0","0","0.0","0","0.0","0","18.0","0","13.0","0","16.0","0","1.0","0","33.0","0.006131208"
"14","0.3576696","0.6256146","0.08968253968253968","3.138888888888889","6.0","0.2159624","9.0","0","3.0","0","1.0","0.1543860","2.0","0","1.0","0.1543860","3.0","0","2.0","0.1","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0.1543860","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1623188","2.0","0","1.0","0","2.0","0","1.0","0.1623188","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1714286","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1714286","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1714286","21.0","0","0.0","0","0.0","0","18.0","0","13.0","0","16.0","0","1.0","0","33.0","0.005878424"
"15","0.3576696","0.6256146","0.08968253968253968","3.138888888888889","6.0","0.2162162","9.0","0","3.0","0","1.0","0.15","2.0","0","1.0","0.15","3.0","0","2.0","0.09868421","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1666667","2.0","0","1.0","0","2.0","0","1.0","0.1666667","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1704545","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1704545","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1704545","21.0","0","0.0","0","0.0","0","18.0","0","13.0","0","16.0","0","1.0","0","33.0","0.005639098"
"16","0.3576696","0.6256146","0.08968253968253968","3.138888888888889","6.0","0.2154316","9.0","0","3.0","0","1.0","0.1456583","2.0","0","1.0","0.1456583","3.0","0","2.0","0.09705882","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0.1456583","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1694118","2.0","0","1.0","0","2.0","0","1.0","0.1694118","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1687980","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1687980","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1687980","21.0","0","0.0","0","0.0","0","18.0","0","13.0","0","16.0","0","1.0","0","33.0","0.005413847"
"17","0.3576696","0.6256146","0.08968253968253968","3.138888888888889","6.0","0.2138889","9.0","0","3.0","0","1.0","0.1414141","2.0","0","1.0","0.1414141","3.0","0","2.0","0.09523810","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0.1414141","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1709402","2.0","0","1.0","0","2.0","0","1.0","0.1709402","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1666667","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1666667","21.0","0","0.0","0","0.0","0","18.0","0","13.0","0","16.0","0","1.0","0","33.0","0.005202527"
"18","0.3576696","0.6256146","0.08968253968253968","3.138888888888889","6.0","0.2117945","9.0","0","3.0","0","1.0","0.1372998","2.0","0","1.0","0.1372998","3.0","0","2.0","0.09330144","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0.1372998","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1715400","2.0","0","1.0","0","2.0","0","1.0","0.1715400","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1642105","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1642105","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1642105","21.0","0","0.0","0","0.0","0","18.0","0","13.0","0","16.0","0","1.0","0","33.0","0.005004588"
"19","0.3576696","0.6256146","0.08968253968253968","3.138888888888889","6.0","0.2093023","9.0","0","3.0","0","1.0","0.1333333","2.0","0","1.0","0.1333333","3.0","0","2.0","0.09130435","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0.1333333","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1714286","2.0","0","1.0","0","2.0","0","1.0","0.1714286","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1615385","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1615385","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1615385","21.0","0","0.0","0","0.0","0","18.0","0","13.0","0","16.0","0","1.0","0","33.0","0.004819277"
"20","0.3576696","0.6256146","0.08968253968253968","3.138888888888889","6.0","0.2065276","9.0","0","3.0","0","1.0","0.1295238","2.0","0","1.0","0.1295238","3.0","0","2.0","0.08928571","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0.1295238","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1707718","2.0","0","1.0","0","2.0","0","1.0","0.1707718","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1587302","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1587302","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1587302","21.0","0","0.0","0","0.0","0","18.0","0","13.0","0","16.0","0","1.0","0","33.0","0.004645761"
