"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.3846154","0.4792899","0.16666666666666666","2.0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","2.0","0.1604278","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","3.0","0.1010101","6.0","0","7.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"11","0.3846154","0.4792899","0.16666666666666666","2.0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","2.0","0.1666667","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","3.0","0.1","6.0","0","7.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"12","0.3846154","0.4792899","0.16666666666666666","2.0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","2.0","0.1700405","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","3.0","0.09790210","6.0","0","7.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"13","0.3846154","0.4792899","0.16666666666666666","2.0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","2.0","0.1714286","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","3.0","0.09523810","6.0","0","7.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"14","0.3846154","0.4792899","0.16666666666666666","2.0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","2.0","0.1714286","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","3.0","0.09230769","6.0","0","7.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"15","0.3846154","0.4792899","0.16666666666666666","2.0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","2.0","0.1704545","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","3.0","0.08928571","6.0","0","7.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"16","0.3846154","0.4792899","0.16666666666666666","2.0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","2.0","0.1687980","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","3.0","0.08627451","6.0","0","7.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"17","0.3846154","0.4792899","0.16666666666666666","2.0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","2.0","0.1666667","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","3.0","0.08333333","6.0","0","7.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"18","0.3846154","0.4792899","0.16666666666666666","2.0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","2.0","0.1642105","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","3.0","0.08049536","6.0","0","7.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"19","0.3846154","0.4792899","0.16666666666666666","2.0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","2.0","0.1615385","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","3.0","0.07777778","6.0","0","7.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"20","0.3846154","0.4792899","0.16666666666666666","2.0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","2.0","0.1587302","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","3.0","0.07518797","6.0","0","7.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
