"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS","MSV10-ADS","MSV10-AIS","MSV10-ACS","MSV10-RCS","MSV10-RIS"
"11","7.0","7.0","49.0","0.3181818181818182","0.3181818181818182","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","5.0","10.0","0.09090909090909091","0.22727272727272727","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","11.0","0.0","0.0","0.5","0.0","1.0","19.0","19.0","0.045454545454545456","0.8636363636363636","0.0","8.0","0.0","0.0","0.36363636363636365","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","7.0","7.0","49.0","0.3181818181818182","0.3181818181818182","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","5.0","10.0","0.09090909090909091","0.22727272727272727","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","11.0","0.0","0.0","0.5","0.0","1.0","19.0","19.0","0.045454545454545456","0.8636363636363636","0.0","8.0","0.0","0.0","0.36363636363636365","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","7.0","7.0","49.0","0.3181818181818182","0.3181818181818182","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","5.0","10.0","0.09090909090909091","0.22727272727272727","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","11.0","0.0","0.0","0.5","0.0","1.0","19.0","19.0","0.045454545454545456","0.8636363636363636","0.0","8.0","0.0","0.0","0.36363636363636365","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","7.0","7.0","49.0","0.3181818181818182","0.3181818181818182","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","5.0","10.0","0.09090909090909091","0.22727272727272727","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","11.0","0.0","0.0","0.5","0.0","1.0","19.0","19.0","0.045454545454545456","0.8636363636363636","0.0","8.0","0.0","0.0","0.36363636363636365","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","8.0","7.0","56.0","0.34782608695652173","0.30434782608695654","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","5.0","10.0","0.08695652173913043","0.21739130434782608","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","11.0","0.0","0.0","0.4782608695652174","0.0","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","9.0","0.0","0.0","0.391304347826087","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","8.0","7.0","56.0","0.34782608695652173","0.30434782608695654","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","5.0","10.0","0.08695652173913043","0.21739130434782608","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","11.0","0.0","0.0","0.4782608695652174","0.0","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","9.0","0.0","0.0","0.391304347826087","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","8.0","7.0","56.0","0.34782608695652173","0.30434782608695654","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","5.0","10.0","0.08695652173913043","0.21739130434782608","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","11.0","0.0","0.0","0.4782608695652174","0.0","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","9.0","0.0","0.0","0.391304347826087","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","10.0","7.0","70.0","0.4","0.28","2.0","1.0","2.0","0.08","0.04","3.0","2.0","6.0","0.12","0.08","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","5.0","10.0","0.08","0.2","2.0","1.0","2.0","0.08","0.04","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","2.0","1.0","2.0","0.08","0.04","3.0","1.0","3.0","0.12","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","3.0","1.0","3.0","0.12","0.04","11.0","0.0","0.0","0.44","0.0","1.0","22.0","22.0","0.04","0.88","0.0","10.0","0.0","0.0","0.4","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","11.0","7.0","77.0","0.4230769230769231","0.2692307692307692","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","5.0","10.0","0.07692307692307693","0.19230769230769232","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","11.0","0.0","0.0","0.4230769230769231","0.0","1.0","23.0","23.0","0.038461538461538464","0.8846153846153846","0.0","10.0","0.0","0.0","0.38461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","11.0","7.0","77.0","0.4230769230769231","0.2692307692307692","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","5.0","10.0","0.07692307692307693","0.19230769230769232","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","11.0","0.0","0.0","0.4230769230769231","0.0","1.0","23.0","23.0","0.038461538461538464","0.8846153846153846","0.0","10.0","0.0","0.0","0.38461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","13.0","7.0","91.0","0.4642857142857143","0.25","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","3.0","2.0","6.0","0.10714285714285714","0.07142857142857142","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","5.0","10.0","0.07142857142857142","0.17857142857142858","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","11.0","0.0","0.0","0.39285714285714285","0.0","1.0","25.0","25.0","0.03571428571428571","0.8928571428571429","0.0","12.0","0.0","0.0","0.42857142857142855","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571"
