"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS"
"11","7.0","2.0","14.0","0.3333333333333333","0.09523809523809523","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","6.0","2.0","12.0","0.2857142857142857","0.09523809523809523","5.0","2.0","10.0","0.23809523809523808","0.09523809523809523","4.0","0.0","0.0","0.19047619047619047","0.0","5.0","2.0","10.0","0.23809523809523808","0.09523809523809523","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","7.0","21.0","0.14285714285714285","0.3333333333333333","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","5.0","0.0","0.0","0.23809523809523808","0.0","0.0","20.0","0.0","0.0","0.9523809523809523","1.0","17.0","17.0","0.047619047619047616","0.8095238095238095","2.0","0.0","0.0","0.09523809523809523","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","7.0","2.0","14.0","0.3333333333333333","0.09523809523809523","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","6.0","2.0","12.0","0.2857142857142857","0.09523809523809523","5.0","2.0","10.0","0.23809523809523808","0.09523809523809523","4.0","0.0","0.0","0.19047619047619047","0.0","5.0","2.0","10.0","0.23809523809523808","0.09523809523809523","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","7.0","21.0","0.14285714285714285","0.3333333333333333","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","5.0","0.0","0.0","0.23809523809523808","0.0","0.0","20.0","0.0","0.0","0.9523809523809523","1.0","17.0","17.0","0.047619047619047616","0.8095238095238095","2.0","0.0","0.0","0.09523809523809523","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","7.0","2.0","14.0","0.3333333333333333","0.09523809523809523","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","6.0","2.0","12.0","0.2857142857142857","0.09523809523809523","5.0","2.0","10.0","0.23809523809523808","0.09523809523809523","4.0","0.0","0.0","0.19047619047619047","0.0","5.0","2.0","10.0","0.23809523809523808","0.09523809523809523","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","7.0","21.0","0.14285714285714285","0.3333333333333333","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","5.0","0.0","0.0","0.23809523809523808","0.0","0.0","20.0","0.0","0.0","0.9523809523809523","1.0","17.0","17.0","0.047619047619047616","0.8095238095238095","2.0","0.0","0.0","0.09523809523809523","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","7.0","2.0","14.0","0.3181818181818182","0.09090909090909091","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","6.0","2.0","12.0","0.2727272727272727","0.09090909090909091","5.0","2.0","10.0","0.22727272727272727","0.09090909090909091","4.0","0.0","0.0","0.18181818181818182","0.0","5.0","2.0","10.0","0.22727272727272727","0.09090909090909091","2.0","3.0","6.0","0.09090909090909091","0.13636363636363635","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","8.0","24.0","0.13636363636363635","0.36363636363636365","4.0","2.0","8.0","0.18181818181818182","0.09090909090909091","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","5.0","0.0","0.0","0.22727272727272727","0.0","0.0","21.0","0.0","0.0","0.9545454545454546","1.0","18.0","18.0","0.045454545454545456","0.8181818181818182","2.0","0.0","0.0","0.09090909090909091","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","7.0","2.0","14.0","0.3181818181818182","0.09090909090909091","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","6.0","2.0","12.0","0.2727272727272727","0.09090909090909091","5.0","2.0","10.0","0.22727272727272727","0.09090909090909091","4.0","0.0","0.0","0.18181818181818182","0.0","5.0","2.0","10.0","0.22727272727272727","0.09090909090909091","2.0","3.0","6.0","0.09090909090909091","0.13636363636363635","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","8.0","24.0","0.13636363636363635","0.36363636363636365","4.0","2.0","8.0","0.18181818181818182","0.09090909090909091","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","5.0","0.0","0.0","0.22727272727272727","0.0","0.0","21.0","0.0","0.0","0.9545454545454546","1.0","18.0","18.0","0.045454545454545456","0.8181818181818182","2.0","0.0","0.0","0.09090909090909091","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","7.0","2.0","14.0","0.30434782608695654","0.08695652173913043","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","6.0","2.0","12.0","0.2608695652173913","0.08695652173913043","5.0","2.0","10.0","0.21739130434782608","0.08695652173913043","4.0","0.0","0.0","0.17391304347826086","0.0","5.0","2.0","10.0","0.21739130434782608","0.08695652173913043","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","3.0","9.0","27.0","0.13043478260869565","0.391304347826087","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","5.0","0.0","0.0","0.21739130434782608","0.0","0.0","22.0","0.0","0.0","0.9565217391304348","1.0","18.0","18.0","0.043478260869565216","0.782608695652174","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","7.0","2.0","14.0","0.30434782608695654","0.08695652173913043","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","6.0","2.0","12.0","0.2608695652173913","0.08695652173913043","5.0","2.0","10.0","0.21739130434782608","0.08695652173913043","4.0","0.0","0.0","0.17391304347826086","0.0","5.0","2.0","10.0","0.21739130434782608","0.08695652173913043","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","3.0","9.0","27.0","0.13043478260869565","0.391304347826087","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","5.0","0.0","0.0","0.21739130434782608","0.0","0.0","22.0","0.0","0.0","0.9565217391304348","1.0","18.0","18.0","0.043478260869565216","0.782608695652174","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","7.0","2.0","14.0","0.30434782608695654","0.08695652173913043","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","6.0","2.0","12.0","0.2608695652173913","0.08695652173913043","5.0","2.0","10.0","0.21739130434782608","0.08695652173913043","4.0","0.0","0.0","0.17391304347826086","0.0","5.0","2.0","10.0","0.21739130434782608","0.08695652173913043","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","3.0","9.0","27.0","0.13043478260869565","0.391304347826087","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","5.0","0.0","0.0","0.21739130434782608","0.0","0.0","22.0","0.0","0.0","0.9565217391304348","1.0","18.0","18.0","0.043478260869565216","0.782608695652174","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","7.0","2.0","14.0","0.30434782608695654","0.08695652173913043","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","6.0","2.0","12.0","0.2608695652173913","0.08695652173913043","5.0","2.0","10.0","0.21739130434782608","0.08695652173913043","4.0","0.0","0.0","0.17391304347826086","0.0","5.0","2.0","10.0","0.21739130434782608","0.08695652173913043","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","3.0","9.0","27.0","0.13043478260869565","0.391304347826087","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","5.0","0.0","0.0","0.21739130434782608","0.0","0.0","22.0","0.0","0.0","0.9565217391304348","1.0","18.0","18.0","0.043478260869565216","0.782608695652174","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","7.0","2.0","14.0","0.2916666666666667","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","6.0","2.0","12.0","0.25","0.08333333333333333","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","4.0","0.0","0.0","0.16666666666666666","0.0","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","2.0","3.0","6.0","0.08333333333333333","0.125","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","10.0","30.0","0.125","0.4166666666666667","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","3.0","3.0","9.0","0.125","0.125","3.0","2.0","6.0","0.125","0.08333333333333333","5.0","0.0","0.0","0.20833333333333334","0.0","0.0","23.0","0.0","0.0","0.9583333333333334","1.0","19.0","19.0","0.041666666666666664","0.7916666666666666","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","0.0","0.0","0.125","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","0.0","0.0","0.125","0.0","0.0","0.0","0.0","0.0","0.0"
"21","7.0","2.0","14.0","0.28","0.08","4.0","1.0","4.0","0.16","0.04","3.0","1.0","3.0","0.12","0.04","2.0","2.0","4.0","0.08","0.08","4.0","1.0","4.0","0.16","0.04","6.0","2.0","12.0","0.24","0.08","5.0","2.0","10.0","0.2","0.08","4.0","0.0","0.0","0.16","0.0","5.0","2.0","10.0","0.2","0.08","2.0","3.0","6.0","0.08","0.12","3.0","2.0","6.0","0.12","0.08","3.0","2.0","6.0","0.12","0.08","3.0","11.0","33.0","0.12","0.44","4.0","2.0","8.0","0.16","0.08","3.0","3.0","9.0","0.12","0.12","3.0","2.0","6.0","0.12","0.08","5.0","0.0","0.0","0.2","0.0","0.0","24.0","0.0","0.0","0.96","1.0","19.0","19.0","0.04","0.76","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0"
